*******************************************************************************
 2014-Feb-12 00:00     3.6970676407E+08 355.487432  19.244657
 2014-Feb-13 00:00     3.7020819268E+08 355.574962  19.069341
 2014-Feb-14 00:00     3.7070660921E+08 355.662073  18.894456
 2014-Feb-15 00:00     3.7120201612E+08 355.748769  18.719999
 2014-Feb-16 00:00     3.7169441587E+08 355.835058  18.545965
 2014-Feb-17 00:00     3.7218381092E+08 355.920944  18.372350
 2014-Feb-18 00:00     3.7267020372E+08 356.006434  18.199150
 2014-Feb-19 00:00     3.7315359672E+08 356.091533  18.026363
 2014-Feb-20 00:00     3.7363399236E+08 356.176246  17.853983
 2014-Feb-21 00:00     3.7411139311E+08 356.260580  17.682008
 2014-Feb-22 00:00     3.7458580138E+08 356.344539  17.510433
 2014-Feb-23 00:00     3.7505721961E+08 356.428128  17.339255
 2014-Feb-24 00:00     3.7552565024E+08 356.511354  17.168471
 2014-Feb-25 00:00     3.7599109569E+08 356.594221  16.998076
 2014-Feb-26 00:00     3.7645355837E+08 356.676734  16.828067
 2014-Feb-27 00:00     3.7691304070E+08 356.758898  16.658440
 2014-Feb-28 00:00     3.7736954508E+08 356.840718  16.489192
 2014-Mar-01 00:00     3.7782307391E+08 356.922199  16.320320
 2014-Mar-02 00:00     3.7827362959E+08 357.003346  16.151819
 2014-Mar-03 00:00     3.7872121448E+08 357.084162  15.983687
 2014-Mar-04 00:00     3.7916583098E+08 357.164654  15.815919
 2014-Mar-05 00:00     3.7960748145E+08 357.244825  15.648513
 2014-Mar-06 00:00     3.8004616826E+08 357.324681  15.481466
 2014-Mar-07 00:00     3.8048189375E+08 357.404224  15.314773
 2014-Mar-08 00:00     3.8091466027E+08 357.483461  15.148431
 2014-Mar-09 00:00     3.8134447015E+08 357.562394  14.982438
 2014-Mar-10 00:00     3.8177132572E+08 357.641029  14.816789
 2014-Mar-11 00:00     3.8219522931E+08 357.719369  14.651482
 2014-Mar-12 00:00     3.8261618320E+08 357.797419  14.486513
 2014-Mar-13 00:00     3.8303418972E+08 357.875183  14.321879
 2014-Mar-14 00:00     3.8344925113E+08 357.952664  14.157577
 2014-Mar-15 00:00     3.8386136973E+08 358.029867  13.993604
 2014-Mar-16 00:00     3.8427054777E+08 358.106796  13.829956
 2014-Mar-17 00:00     3.8467678752E+08 358.183455  13.666631
 2014-Mar-18 00:00     3.8508009122E+08 358.259846  13.503625
 2014-Mar-19 00:00     3.8548046111E+08 358.335975  13.340935
 2014-Mar-20 00:00     3.8587789941E+08 358.411844  13.178558
 2014-Mar-21 00:00     3.8627240834E+08 358.487458  13.016492
 2014-Mar-22 00:00     3.8666399010E+08 358.562820  12.854732
 2014-Mar-23 00:00     3.8705264688E+08 358.637934  12.693277
 2014-Mar-24 00:00     3.8743838086E+08 358.712803  12.532122
 2014-Mar-25 00:00     3.8782119421E+08 358.787431  12.371266
 2014-Mar-26 00:00     3.8820108908E+08 358.861820  12.210704
 2014-Mar-27 00:00     3.8857806762E+08 358.935975  12.050436
 2014-Mar-28 00:00     3.8895213195E+08 359.009899  11.890456
 2014-Mar-29 00:00     3.8932328421E+08 359.083596  11.730763
 2014-Mar-30 00:00     3.8969152648E+08 359.157067  11.571353
 2014-Mar-31 00:00     3.9005686087E+08 359.230318  11.412224
 2014-Apr-01 00:00     3.9041928946E+08 359.303350  11.253374
 2014-Apr-02 00:00     3.9077881431E+08 359.376168  11.094798
 2014-Apr-03 00:00     3.9113543748E+08 359.448773  10.936495
 2014-Apr-04 00:00     3.9148916102E+08 359.521170  10.778461
 2014-Apr-05 00:00     3.9183998694E+08 359.593362  10.620694
 2014-Apr-06 00:00     3.9218791727E+08 359.665350  10.463191
 2014-Apr-07 00:00     3.9253295401E+08 359.737139  10.305949
 2014-Apr-08 00:00     3.9287509914E+08 359.808731  10.148967
 2014-Apr-09 00:00     3.9321435465E+08 359.880130   9.992240
 2014-Apr-10 00:00     3.9355072248E+08 359.951338   9.835766
 2014-Apr-11 00:00     3.9388420459E+08   0.022357   9.679543
 2014-Apr-12 00:00     3.9421480291E+08   0.093192   9.523569
 2014-Apr-13 00:00     3.9454251936E+08   0.163844   9.367839
 2014-Apr-14 00:00     3.9486735585E+08   0.234316   9.212353
 2014-Apr-15 00:00     3.9518931425E+08   0.304612   9.057107
 2014-Apr-16 00:00     3.9550839646E+08   0.374733   8.902098
 2014-Apr-17 00:00     3.9582460433E+08   0.444683   8.747325
 2014-Apr-18 00:00     3.9613793971E+08   0.514464   8.592784
 2014-Apr-19 00:00     3.9644840443E+08   0.584078   8.438473
 2014-Apr-20 00:00     3.9675600032E+08   0.653530   8.284390
 2014-Apr-21 00:00     3.9706072916E+08   0.722820   8.130532
 2014-Apr-22 00:00     3.9736259276E+08   0.791951   7.976897
 2014-Apr-23 00:00     3.9766159288E+08   0.860927   7.823482
 2014-Apr-24 00:00     3.9795773129E+08   0.929749   7.670284
 2014-Apr-25 00:00     3.9825100972E+08   0.998420   7.517302
 2014-Apr-26 00:00     3.9854142991E+08   1.066942   7.364533
 2014-Apr-27 00:00     3.9882899358E+08   1.135319   7.211974
 2014-Apr-28 00:00     3.9911370241E+08   1.203551   7.059623
 2014-Apr-29 00:00     3.9939555810E+08   1.271643   6.907478
 2014-Apr-30 00:00     3.9967456230E+08   1.339595   6.755536
 2014-May-01 00:00     3.9995071669E+08   1.407411   6.603795
 2014-May-02 00:00     4.0022402288E+08   1.475092   6.452253
 2014-May-03 00:00     4.0049448250E+08   1.542641   6.300907
 2014-May-04 00:00     4.0076209717E+08   1.610061   6.149755
