*******************************************************************************
 2014-Feb-12 00:00     1.7654071204E+08 218.565417  60.202276
 2014-Feb-13 00:00     1.7713595852E+08 219.559214  60.850713
 2014-Feb-14 00:00     1.7773508894E+08 220.586850  61.487245
 2014-Feb-15 00:00     1.7833795859E+08 221.649768  62.111526
 2014-Feb-16 00:00     1.7894442451E+08 222.749440  62.723192
 2014-Feb-17 00:00     1.7955434557E+08 223.887353  63.321858
 2014-Feb-18 00:00     1.8016758245E+08 225.065003  63.907116
 2014-Feb-19 00:00     1.8078399768E+08 226.283881  64.478540
 2014-Feb-20 00:00     1.8140345567E+08 227.545460  65.035679
 2014-Feb-21 00:00     1.8202582270E+08 228.851177  65.578062
 2014-Feb-22 00:00     1.8265096696E+08 230.202413  66.105196
 2014-Feb-23 00:00     1.8327875857E+08 231.600472  66.616563
 2014-Feb-24 00:00     1.8390906953E+08 233.046552  67.111629
 2014-Feb-25 00:00     1.8454177382E+08 234.541717  67.589837
 2014-Feb-26 00:00     1.8517674733E+08 236.086866  68.050614
 2014-Feb-27 00:00     1.8581386788E+08 237.682694  68.493371
 2014-Feb-28 00:00     1.8645301526E+08 239.329656  68.917509
 2014-Mar-01 00:00     1.8709407115E+08 241.027925  69.322419
 2014-Mar-02 00:00     1.8773691921E+08 242.777352  69.707490
 2014-Mar-03 00:00     1.8838144500E+08 244.577425  70.072114
 2014-Mar-04 00:00     1.8902753601E+08 246.427227  70.415689
 2014-Mar-05 00:00     1.8967508164E+08 248.325400  70.737634
 2014-Mar-06 00:00     1.9032397321E+08 250.270115  71.037387
 2014-Mar-07 00:00     1.9097410390E+08 252.259045  71.314423
 2014-Mar-08 00:00     1.9162536882E+08 254.289352  71.568256
 2014-Mar-09 00:00     1.9227766489E+08 256.357681  71.798454
 2014-Mar-10 00:00     1.9293089092E+08 258.460171  72.004642
 2014-Mar-11 00:00     1.9358494755E+08 260.592482  72.186518
 2014-Mar-12 00:00     1.9423973724E+08 262.749828  72.343855
 2014-Mar-13 00:00     1.9489516425E+08 264.927039  72.476512
 2014-Mar-14 00:00     1.9555113463E+08 267.118622  72.584438
 2014-Mar-15 00:00     1.9620755618E+08 269.318848  72.667679
 2014-Mar-16 00:00     1.9686433847E+08 271.521840  72.726374
 2014-Mar-17 00:00     1.9752139278E+08 273.721669  72.760766
