*******************************************************************************
 2014-Feb-11 00:00     2.0564941447E+08  74.732678 -57.645938
 2014-Feb-12 00:00     2.0532901770E+08  75.724432 -57.819722
 2014-Feb-13 00:00     2.0500454917E+08  76.728724 -57.986202
 2014-Feb-14 00:00     2.0467602666E+08  77.745399 -58.145186
 2014-Feb-15 00:00     2.0434346843E+08  78.774275 -58.296485
 2014-Feb-16 00:00     2.0400689318E+08  79.815141 -58.439907
 2014-Feb-17 00:00     2.0366632011E+08  80.867755 -58.575261
 2014-Feb-18 00:00     2.0332176891E+08  81.931846 -58.702356
 2014-Feb-19 00:00     2.0297325978E+08  83.007112 -58.821004
 2014-Feb-20 00:00     2.0262081340E+08  84.093219 -58.931016
 2014-Feb-21 00:00     2.0226445101E+08  85.189802 -59.032206
 2014-Feb-22 00:00     2.0190419437E+08  86.296466 -59.124392
 2014-Feb-23 00:00     2.0154006579E+08  87.412781 -59.207394
 2014-Feb-24 00:00     2.0117208813E+08  88.538292 -59.281035
 2014-Feb-25 00:00     2.0080028485E+08  89.672509 -59.345142
 2014-Feb-26 00:00     2.0042467997E+08  90.814915 -59.399550
 2014-Feb-27 00:00     2.0004529812E+08  91.964967 -59.444096
 2014-Feb-28 00:00     1.9966216454E+08  93.122092 -59.478622
 2014-Mar-01 00:00     1.9927530510E+08  94.285694 -59.502981
 2014-Mar-02 00:00     1.9888474631E+08  95.455153 -59.517028
 2014-Mar-03 00:00     1.9849051534E+08  96.629829 -59.520627
 2014-Mar-04 00:00     1.9809264001E+08  97.809063 -59.513650
 2014-Mar-05 00:00     1.9769114885E+08  98.992178 -59.495977
 2014-Mar-06 00:00     1.9728607108E+08 100.178486 -59.467497
 2014-Mar-07 00:00     1.9687743663E+08 101.367284 -59.428106
 2014-Mar-08 00:00     1.9646527617E+08 102.557864 -59.377710
 2014-Mar-09 00:00     1.9604962110E+08 103.749511 -59.316225
 2014-Mar-10 00:00     1.9563050362E+08 104.941508 -59.243575
 2014-Mar-11 00:00     1.9520795668E+08 106.133139 -59.159695
 2014-Mar-12 00:00     1.9478201403E+08 107.323691 -59.064528
 2014-Mar-13 00:00     1.9435271026E+08 108.512456 -58.958027
 2014-Mar-14 00:00     1.9392008077E+08 109.698738 -58.840156
 2014-Mar-15 00:00     1.9348416183E+08 110.881853 -58.710888
 2014-Mar-16 00:00     1.9304499057E+08 112.061129 -58.570204
 2014-Mar-17 00:00     1.9260260501E+08 113.235915 -58.418095
 2014-Mar-18 00:00     1.9215704408E+08 114.405578 -58.254562
 2014-Mar-19 00:00     1.9170834765E+08 115.569506 -58.079613
 2014-Mar-20 00:00     1.9125655653E+08 116.727113 -57.893265
 2014-Mar-21 00:00     1.9080171249E+08 117.877838 -57.695543
 2014-Mar-22 00:00     1.9034385830E+08 119.021147 -57.486480
 2014-Mar-23 00:00     1.8988303776E+08 120.156534 -57.266117
 2014-Mar-24 00:00     1.8941929565E+08 121.283524 -57.034500
 2014-Mar-25 00:00     1.8895267786E+08 122.401672 -56.791682
 2014-Mar-26 00:00     1.8848323133E+08 123.510563 -56.537723
 2014-Mar-27 00:00     1.8801100409E+08 124.609816 -56.272686
 2014-Mar-28 00:00     1.8753604531E+08 125.699079 -55.996643
 2014-Mar-29 00:00     1.8705840528E+08 126.778034 -55.709666
 2014-Mar-30 00:00     1.8657813548E+08 127.846393 -55.411834
 2014-Mar-31 00:00     1.8609528857E+08 128.903900 -55.103229
 2014-Apr-01 00:00     1.8560991843E+08 129.950329 -54.783936
 2014-Apr-02 00:00     1.8512208016E+08 130.985485 -54.454041
 2014-Apr-03 00:00     1.8463183015E+08 132.009201 -54.113636
 2014-Apr-04 00:00     1.8413922605E+08 133.021340 -53.762811
 2014-Apr-05 00:00     1.8364432683E+08 134.021790 -53.401660
 2014-Apr-06 00:00     1.8314719281E+08 135.010467 -53.030277
 2014-Apr-07 00:00     1.8264788566E+08 135.987311 -52.648756
 2014-Apr-08 00:00     1.8214646844E+08 136.952287 -52.257193
 2014-Apr-09 00:00     1.8164300563E+08 137.905382 -51.855683
 2014-Apr-10 00:00     1.8113756312E+08 138.846605 -51.444322
 2014-Apr-11 00:00     1.8063020831E+08 139.775985 -51.023203
 2014-Apr-12 00:00     1.8012101005E+08 140.693569 -50.592420
 2014-Apr-13 00:00     1.7961003872E+08 141.599423 -50.152067
 2014-Apr-14 00:00     1.7909736627E+08 142.493629 -49.702236
 2014-Apr-15 00:00     1.7858306617E+08 143.376285 -49.243015
 2014-Apr-16 00:00     1.7806721352E+08 144.247502 -48.774495
 2014-Apr-17 00:00     1.7754988502E+08 145.107405 -48.296763
