*******************************************************************************
 2014-Feb-11 00:00     1.0604807452E+08  41.707756 -40.017180
 2014-Feb-12 00:00     1.0681986629E+08  43.396638 -41.119144
 2014-Feb-13 00:00     1.0759601648E+08  45.116926 -42.180281
 2014-Feb-14 00:00     1.0837581355E+08  46.869171 -43.200162
 2014-Feb-15 00:00     1.0915857184E+08  48.653745 -44.178370
 2014-Feb-16 00:00     1.0994363126E+08  50.470829 -45.114509
 2014-Feb-17 00:00     1.1073035697E+08  52.320388 -46.008206
 2014-Feb-18 00:00     1.1151813896E+08  54.202157 -46.859110
 2014-Feb-19 00:00     1.1230639156E+08  56.115618 -47.666903
 2014-Feb-20 00:00     1.1309455292E+08  58.059989 -48.431301
 2014-Feb-21 00:00     1.1388208441E+08  60.034207 -49.152060
 2014-Feb-22 00:00     1.1466847002E+08  62.036920 -49.828985
 2014-Feb-23 00:00     1.1545321570E+08  64.066479 -50.461935
 2014-Feb-24 00:00     1.1623584872E+08  66.120940 -51.050832
 2014-Feb-25 00:00     1.1701591699E+08  68.198065 -51.595665
 2014-Feb-26 00:00     1.1779298838E+08  70.295331 -52.096497
 2014-Feb-27 00:00     1.1856664999E+08  72.409952 -52.553475
 2014-Feb-28 00:00     1.1933650753E+08  74.538898 -52.966832
 2014-Mar-01 00:00     1.2010218460E+08  76.678922 -53.336892
 2014-Mar-02 00:00     1.2086332198E+08  78.826600 -53.664075
 2014-Mar-03 00:00     1.2161957705E+08  80.978368 -53.948895
 2014-Mar-04 00:00     1.2237062304E+08  83.130565 -54.191966
 2014-Mar-05 00:00     1.2311614845E+08  85.279480 -54.393997
 2014-Mar-06 00:00     1.2385585641E+08  87.421401 -54.555791
 2014-Mar-07 00:00     1.2458946404E+08  89.552663 -54.678238
 2014-Mar-08 00:00     1.2531670190E+08  91.669691 -54.762315
 2014-Mar-09 00:00     1.2603731337E+08  93.769047 -54.809073
 2014-Mar-10 00:00     1.2675105414E+08  95.847465 -54.819630
 2014-Mar-11 00:00     1.2745769160E+08  97.901891 -54.795166
 2014-Mar-12 00:00     1.2815700442E+08  99.929504 -54.736909
 2014-Mar-13 00:00     1.2884878192E+08 101.927743 -54.646126
 2014-Mar-14 00:00     1.2953282372E+08 103.894321 -54.524114
 2014-Mar-15 00:00     1.3020893917E+08 105.827231 -54.372190
 2014-Mar-16 00:00     1.3087694695E+08 107.724756 -54.191679
 2014-Mar-17 00:00     1.3153667462E+08 109.585459 -53.983908
