*******************************************************************************
 2014-Feb-11 00:00     1.2340466112E+08 124.599524 -56.982537
 2014-Feb-12 00:00     1.2376816961E+08 126.817429 -56.405902
 2014-Feb-13 00:00     1.2413495888E+08 128.954395 -55.794672
 2014-Feb-14 00:00     1.2450480909E+08 131.011254 -55.151529
 2014-Feb-15 00:00     1.2487750233E+08 132.989424 -54.479042
 2014-Feb-16 00:00     1.2525282274E+08 134.890795 -53.779660
 2014-Feb-17 00:00     1.2563055672E+08 136.717621 -53.055697
 2014-Feb-18 00:00     1.2601049295E+08 138.472428 -52.309335
 2014-Feb-19 00:00     1.2639242263E+08 140.157936 -51.542617
 2014-Feb-20 00:00     1.2677613951E+08 141.776985 -50.757451
 2014-Feb-21 00:00     1.2716144001E+08 143.332485 -49.955611
 2014-Feb-22 00:00     1.2754812332E+08 144.827361 -49.138746
 2014-Feb-23 00:00     1.2793599147E+08 146.264523 -48.308382
 2014-Feb-24 00:00     1.2832484942E+08 147.646830 -47.465926
 2014-Feb-25 00:00     1.2871450510E+08 148.977074 -46.612680
 2014-Feb-26 00:00     1.2910476947E+08 150.257959 -45.749840
 2014-Feb-27 00:00     1.2949545661E+08 151.492091 -44.878509
 2014-Feb-28 00:00     1.2988638368E+08 152.681970 -43.999700
 2014-Mar-01 00:00     1.3027737104E+08 153.829986 -43.114341
 2014-Mar-02 00:00     1.3066824222E+08 154.938413 -42.223287
 2014-Mar-03 00:00     1.3105882396E+08 156.009416 -41.327319
 2014-Mar-04 00:00     1.3144894623E+08 157.045047 -40.427155
 2014-Mar-05 00:00     1.3183844225E+08 158.047248 -39.523453
 2014-Mar-06 00:00     1.3222714844E+08 159.017857 -38.616812
 2014-Mar-07 00:00     1.3261490452E+08 159.958608 -37.707785
 2014-Mar-08 00:00     1.3300155339E+08 160.871141 -36.796874
 2014-Mar-09 00:00     1.3338694121E+08 161.757001 -35.884541
 2014-Mar-10 00:00     1.3377091734E+08 162.617645 -34.971206
 2014-Mar-11 00:00     1.3415333437E+08 163.454448 -34.057253
 2014-Mar-12 00:00     1.3453404803E+08 164.268705 -33.143033
 2014-Mar-13 00:00     1.3491291722E+08 165.061637 -32.228867
 2014-Mar-14 00:00     1.3528980399E+08 165.834398 -31.315046
 2014-Mar-15 00:00     1.3566457348E+08 166.588072 -30.401837
 2014-Mar-16 00:00     1.3603709390E+08 167.323685 -29.489481
 2014-Mar-17 00:00     1.3640723651E+08 168.042205 -28.578199
 2014-Mar-18 00:00     1.3677487558E+08 168.744546 -27.668189
 2014-Mar-19 00:00     1.3713988834E+08 169.431570 -26.759634
 2014-Mar-20 00:00     1.3750215496E+08 170.104096 -25.852697
 2014-Mar-21 00:00     1.3786155852E+08 170.762895 -24.947527
 2014-Mar-22 00:00     1.3821798493E+08 171.408698 -24.044256
 2014-Mar-23 00:00     1.3857132295E+08 172.042199 -23.143007
 2014-Mar-24 00:00     1.3892146407E+08 172.664054 -22.243886
 2014-Mar-25 00:00     1.3926830254E+08 173.274888 -21.346990
 2014-Mar-26 00:00     1.3961173530E+08 173.875292 -20.452407
 2014-Mar-27 00:00     1.3995166191E+08 174.465831 -19.560211
 2014-Mar-28 00:00     1.4028798457E+08 175.047039 -18.670472
 2014-Mar-29 00:00     1.4062060800E+08 175.619428 -17.783249
 2014-Mar-30 00:00     1.4094943945E+08 176.183484 -16.898593
 2014-Mar-31 00:00     1.4127438863E+08 176.739673 -16.016551
 2014-Apr-01 00:00     1.4159536769E+08 177.288437 -15.137161
 2014-Apr-02 00:00     1.4191229114E+08 177.830203 -14.260456
 2014-Apr-03 00:00     1.4222507586E+08 178.365377 -13.386463
 2014-Apr-04 00:00     1.4253364097E+08 178.894349 -12.515207
 2014-Apr-05 00:00     1.4283790789E+08 179.417494 -11.646704
 2014-Apr-06 00:00     1.4313780023E+08 179.935172 -10.780968
 2014-Apr-07 00:00     1.4343324376E+08 180.447730  -9.918011
 2014-Apr-08 00:00     1.4372416638E+08 180.955501  -9.057838
 2014-Apr-09 00:00     1.4401049807E+08 181.458809  -8.200454
 2014-Apr-10 00:00     1.4429217084E+08 181.957964  -7.345859
 2014-Apr-11 00:00     1.4456911872E+08 182.453269  -6.494052
 2014-Apr-12 00:00     1.4484127770E+08 182.945015  -5.645027
 2014-Apr-13 00:00     1.4510858568E+08 183.433487  -4.798780
 2014-Apr-14 00:00     1.4537098246E+08 183.918961  -3.955300
 2014-Apr-15 00:00     1.4562840967E+08 184.401705  -3.114580
 2014-Apr-16 00:00     1.4588081077E+08 184.881981  -2.276606
 2014-Apr-17 00:00     1.4612813097E+08 185.360045  -1.441367
 2014-Apr-18 00:00     1.4637031726E+08 185.836148  -0.608849
 2014-Apr-19 00:00     1.4660731831E+08 186.310536   0.220964
 2014-Apr-20 00:00     1.4683908445E+08 186.783449   1.048087
 2014-Apr-21 00:00     1.4706556768E+08 187.255125   1.872537
 2014-Apr-22 00:00     1.4728672159E+08 187.725796   2.694330
 2014-Apr-23 00:00     1.4750250135E+08 188.195695   3.513484
 2014-Apr-24 00:00     1.4771286368E+08 188.665048   4.330016
 2014-Apr-25 00:00     1.4791776682E+08 189.134082   5.143944
 2014-Apr-26 00:00     1.4811717049E+08 189.603021   5.955285
 2014-Apr-27 00:00     1.4831103588E+08 190.072087   6.764058
 2014-Apr-28 00:00     1.4849932562E+08 190.541503   7.570280
 2014-Apr-29 00:00     1.4868200374E+08 191.011489   8.373967
 2014-Apr-30 00:00     1.4885903565E+08 191.482266   9.175136
 2014-May-01 00:00     1.4903038814E+08 191.954057   9.973804
 2014-May-02 00:00     1.4919602931E+08 192.427082  10.769984
 2014-May-03 00:00     1.4935592859E+08 192.901565  11.563693
 2014-May-04 00:00     1.4951005671E+08 193.377731  12.354942
 2014-May-05 00:00     1.4965838565E+08 193.855804  13.143746
 2014-May-06 00:00     1.4980088867E+08 194.336015  13.930115
 2014-May-07 00:00     1.4993754022E+08 194.818592  14.714059
 2014-May-08 00:00     1.5006831602E+08 195.303771  15.495587
 2014-May-09 00:00     1.5019319294E+08 195.791788  16.274707
 2014-May-10 00:00     1.5031214905E+08 196.282883  17.051423
 2014-May-11 00:00     1.5042516358E+08 196.777303  17.825740
 2014-May-12 00:00     1.5053221691E+08 197.275295  18.597660
 2014-May-13 00:00     1.5063329056E+08 197.777116  19.367182
 2014-May-14 00:00     1.5072836717E+08 198.283024  20.134304
 2014-May-15 00:00     1.5081743048E+08 198.793286  20.899022
 2014-May-16 00:00     1.5090046532E+08 199.308173  21.661328
 2014-May-17 00:00     1.5097745763E+08 199.827965  22.421213
 2014-May-18 00:00     1.5104839441E+08 200.352947  23.178665
 2014-May-19 00:00     1.5111326372E+08 200.883415  23.933667
 2014-May-20 00:00     1.5117205468E+08 201.419669  24.686202
 2014-May-21 00:00     1.5122475748E+08 201.962023  25.436246
 2014-May-22 00:00     1.5127136331E+08 202.510796  26.183774
 2014-May-23 00:00     1.5131186443E+08 203.066319  26.928757
 2014-May-24 00:00     1.5134625411E+08 203.628934  27.671161
 2014-May-25 00:00     1.5137452666E+08 204.198993  28.410947
 2014-May-26 00:00     1.5139667739E+08 204.776861  29.148074
 2014-May-27 00:00     1.5141270264E+08 205.362916  29.882495
 2014-May-28 00:00     1.5142259976E+08 205.957546  30.614155
 2014-May-29 00:00     1.5142636712E+08 206.561157  31.342998
 2014-May-30 00:00     1.5142400407E+08 207.174167  32.068960
