*******************************************************************************
 2014-Feb-12 00:00     1.1635495599E+08 205.959681  44.171839
 2014-Feb-13 00:00     1.1577063981E+08 207.111708  45.504520
 2014-Feb-14 00:00     1.1519988930E+08 208.331776  46.838274
 2014-Feb-15 00:00     1.1464327732E+08 209.626590  48.171357
 2014-Feb-16 00:00     1.1410137718E+08 211.003632  49.501775
 2014-Feb-17 00:00     1.1357476129E+08 212.471236  50.827252
 2014-Feb-18 00:00     1.1306399978E+08 214.038675  52.145184
 2014-Feb-19 00:00     1.1256965905E+08 215.716247  53.452594
 2014-Feb-20 00:00     1.1209230018E+08 217.515339  54.746076
 2014-Feb-21 00:00     1.1163247733E+08 219.448481  56.021734
 2014-Feb-22 00:00     1.1119073609E+08 221.529349  57.275112
 2014-Feb-23 00:00     1.1076761173E+08 223.772710  58.501123
 2014-Feb-24 00:00     1.1036362742E+08 226.194261  59.693966
 2014-Feb-25 00:00     1.0997929248E+08 228.810333  60.847053
 2014-Feb-26 00:00     1.0961510051E+08 231.637378  61.952937
 2014-Feb-27 00:00     1.0927152756E+08 234.691198  63.003267
 2014-Feb-28 00:00     1.0894903035E+08 237.985839  63.988768
 2014-Mar-01 00:00     1.0864804439E+08 241.532090  64.899294
 2014-Mar-02 00:00     1.0836898225E+08 245.335616  65.723954
 2014-Mar-03 00:00     1.0811223179E+08 249.394781  66.451359
 2014-Mar-04 00:00     1.0787815452E+08 253.698413  67.070001
 2014-Mar-05 00:00     1.0766708397E+08 258.223889  67.568778
 2014-Mar-06 00:00     1.0747932421E+08 262.936053  67.937635
 2014-Mar-07 00:00     1.0731514842E+08 267.787530  68.168274
 2014-Mar-08 00:00     1.0717479766E+08 272.720777  68.254818
 2014-Mar-09 00:00     1.0705847966E+08 277.671863  68.194332
 2014-Mar-10 00:00     1.0696636788E+08 282.575441  67.987073
 2014-Mar-11 00:00     1.0689860062E+08 287.369998  67.636447
 2014-Mar-12 00:00     1.0685528037E+08 292.002367  67.148651
 2014-Mar-13 00:00     1.0683647326E+08 296.430735  66.532103
 2014-Mar-14 00:00     1.0684220881E+08 300.625854  65.796761
 2014-Mar-15 00:00     1.0687247969E+08 304.570648  64.953449
 2014-Mar-16 00:00     1.0692724184E+08 308.258665  64.013255
 2014-Mar-17 00:00     1.0700641461E+08 311.691963  62.987075
 2014-Mar-18 00:00     1.0710988124E+08 314.878853  61.885280
 2014-Mar-19 00:00     1.0723748939E+08 317.831859  60.717521
 2014-Mar-20 00:00     1.0738905190E+08 320.566009  59.492624
 2014-Mar-21 00:00     1.0756434769E+08 323.097527  58.218567
 2014-Mar-22 00:00     1.0776312284E+08 325.442888  56.902495
 2014-Mar-23 00:00     1.0798509178E+08 327.618178  55.550775
 2014-Mar-24 00:00     1.0822993861E+08 329.638689  54.169061
 2014-Mar-25 00:00     1.0849731857E+08 331.518695  52.762360
 2014-Mar-26 00:00     1.0878685956E+08 333.271340  51.335108
 2014-Mar-27 00:00     1.0909816380E+08 334.908621  49.891234
 2014-Mar-28 00:00     1.0943080947E+08 336.441411  48.434221
 2014-Mar-29 00:00     1.0978435256E+08 337.879523  46.967158
 2014-Mar-30 00:00     1.1015832858E+08 339.231785  45.492793
 2014-Mar-31 00:00     1.1055225441E+08 340.506127  44.013569
 2014-Apr-01 00:00     1.1096563015E+08 341.709661  42.531664
 2014-Apr-02 00:00     1.1139794094E+08 342.848768  41.049020
 2014-Apr-03 00:00     1.1184865876E+08 343.929172  39.567373
 2014-Apr-04 00:00     1.1231724422E+08 344.956013  38.088272
 2014-Apr-05 00:00     1.1280314834E+08 345.933908  36.613104
 2014-Apr-06 00:00     1.1330581422E+08 346.867012  35.143107
 2014-Apr-07 00:00     1.1382467873E+08 347.759068  33.679389
 2014-Apr-08 00:00     1.1435917403E+08 348.613454  32.222940
 2014-Apr-09 00:00     1.1490872917E+08 349.433222  30.774640
 2014-Apr-10 00:00     1.1547277147E+08 350.221135  29.335275
 2014-Apr-11 00:00     1.1605072792E+08 350.979700  27.905544
 2014-Apr-12 00:00     1.1664202647E+08 351.711194  26.486065
 2014-Apr-13 00:00     1.1724609720E+08 352.417689  25.077384
 2014-Apr-14 00:00     1.1786237350E+08 353.101076  23.679980
 2014-Apr-15 00:00     1.1849029304E+08 353.763079  22.294274
 2014-Apr-16 00:00     1.1912929877E+08 354.405281  20.920629
 2014-Apr-17 00:00     1.1977883978E+08 355.029128  19.559360
 2014-Apr-18 00:00     1.2043837210E+08 355.635954  18.210734
 2014-Apr-19 00:00     1.2110735938E+08 356.226981  16.874978
 2014-Apr-20 00:00     1.2178527356E+08 356.803341  15.552279
 2014-Apr-21 00:00     1.2247159544E+08 357.366076  14.242788
 2014-Apr-22 00:00     1.2316581513E+08 357.916152  12.946625
 2014-Apr-23 00:00     1.2386743254E+08 358.454463  11.663879
 2014-Apr-24 00:00     1.2457595767E+08 358.981842  10.394614
 2014-Apr-25 00:00     1.2529091100E+08 359.499062   9.138869
 2014-Apr-26 00:00     1.2601182368E+08   0.006844   7.896658
 2014-Apr-27 00:00     1.2673823774E+08   0.505863   6.667979
 2014-Apr-28 00:00     1.2746970626E+08   0.996747   5.452807
 2014-Apr-29 00:00     1.2820579347E+08   1.480088   4.251103
 2014-Apr-30 00:00     1.2894607480E+08   1.956442   3.062813
 2014-May-01 00:00     1.2969013692E+08   2.426329   1.887869
 2014-May-02 00:00     1.3043757773E+08   2.890243   0.726189
 2014-May-03 00:00     1.3118800634E+08   3.348648  -0.422317
 2014-May-04 00:00     1.3194104296E+08   3.801985  -1.557752
 2014-May-05 00:00     1.3269631886E+08   4.250669  -2.680224
 2014-May-06 00:00     1.3345347622E+08   4.695098  -3.789851
 2014-May-07 00:00     1.3421216802E+08   5.135650  -4.886758
 2014-May-08 00:00     1.3497205788E+08   5.572682  -5.971074
 2014-May-09 00:00     1.3573281988E+08   6.006541  -7.042935
 2014-May-10 00:00     1.3649413840E+08   6.437554  -8.102479
 2014-May-11 00:00     1.3725570792E+08   6.866039  -9.149849
 2014-May-12 00:00     1.3801723282E+08   7.292298 -10.185191
 2014-May-13 00:00     1.3877842718E+08   7.716626 -11.208654
 2014-May-14 00:00     1.3953901453E+08   8.139305 -12.220385
 2014-May-15 00:00     1.4029872769E+08   8.560608 -13.220538
 2014-May-16 00:00     1.4105730849E+08   8.980802 -14.209264
 2014-May-17 00:00     1.4181450757E+08   9.400145 -15.186714
 2014-May-18 00:00     1.4257008414E+08   9.818887 -16.153042
 2014-May-19 00:00     1.4332380575E+08  10.237275 -17.108400
 2014-May-20 00:00     1.4407544808E+08  10.655548 -18.052938
 2014-May-21 00:00     1.4482479468E+08  11.073942 -18.986808
 2014-May-22 00:00     1.4557163678E+08  11.492688 -19.910159
 2014-May-23 00:00     1.4631577303E+08  11.912014 -20.823139
 2014-May-24 00:00     1.4705700928E+08  12.332144 -21.725894
 2014-May-25 00:00     1.4779515838E+08  12.753301 -22.618567
 2014-May-26 00:00     1.4853003996E+08  13.175703 -23.501302
 2014-May-27 00:00     1.4926148019E+08  13.599570 -24.374239
 2014-May-28 00:00     1.4998931160E+08  14.025117 -25.237514
 2014-May-29 00:00     1.5071337285E+08  14.452561 -26.091263
 2014-May-30 00:00     1.5143350858E+08  14.882118 -26.935619
 2014-May-31 00:00     1.5214956912E+08  15.314003 -27.770711
 2014-Jun-01 00:00     1.5286141041E+08  15.748432 -28.596665
 2014-Jun-02 00:00     1.5356889370E+08  16.185620 -29.413606
 2014-Jun-03 00:00     1.5427188548E+08  16.625786 -30.221654
 2014-Jun-04 00:00     1.5497025720E+08  17.069148 -31.020928
 2014-Jun-05 00:00     1.5566388516E+08  17.515925 -31.811542
 2014-Jun-06 00:00     1.5635265033E+08  17.966340 -32.593607
 2014-Jun-07 00:00     1.5703643818E+08  18.420616 -33.367233
 2014-Jun-08 00:00     1.5771513850E+08  18.878982 -34.132526
 2014-Jun-09 00:00     1.5838864531E+08  19.341665 -34.889587
 2014-Jun-10 00:00     1.5905685662E+08  19.808899 -35.638519
 2014-Jun-11 00:00     1.5971967438E+08  20.280921 -36.379418
 2014-Jun-12 00:00     1.6037700425E+08  20.757972 -37.112382
 2014-Jun-13 00:00     1.6102875556E+08  21.240300 -37.837504
 2014-Jun-14 00:00     1.6167484107E+08  21.728159 -38.554878
 2014-Jun-15 00:00     1.6231517696E+08  22.221812 -39.264594
 2014-Jun-16 00:00     1.6294968259E+08  22.721536 -39.966744
 2014-Jun-17 00:00     1.6357828048E+08  23.227623 -40.661414
 2014-Jun-18 00:00     1.6420089613E+08  23.740383 -41.348685
 2014-Jun-19 00:00     1.6481745796E+08  24.260153 -42.028629
 2014-Jun-20 00:00     1.6542789714E+08  24.787291 -42.701300
 2014-Jun-21 00:00     1.6603214756E+08  25.322171 -43.366727
 2014-Jun-22 00:00     1.6663014566E+08  25.865175 -44.024910
 2014-Jun-23 00:00     1.6722183040E+08  26.416665 -44.675822
 2014-Jun-24 00:00     1.6780714311E+08  26.976972 -45.319419
 2014-Jun-25 00:00     1.6838602743E+08  27.546383 -45.955660
 2014-Jun-26 00:00     1.6895842923E+08  28.125157 -46.584522
 2014-Jun-27 00:00     1.6952429649E+08  28.713543 -47.206009
 2014-Jun-28 00:00     1.7008357927E+08  29.311805 -47.820149
 2014-Jun-29 00:00     1.7063622960E+08  29.920239 -48.426983
 2014-Jun-30 00:00     1.7118220141E+08  30.539176 -49.026552
 2014-Jul-01 00:00     1.7172145046E+08  31.168979 -49.618892
 2014-Jul-02 00:00     1.7225393427E+08  31.810038 -50.204026
 2014-Jul-03 00:00     1.7277961206E+08  32.462761 -50.781966
 2014-Jul-04 00:00     1.7329844468E+08  33.127573 -51.352710
 2014-Jul-05 00:00     1.7381039455E+08  33.804912 -51.916243
 2014-Jul-06 00:00     1.7431542558E+08  34.495222 -52.472543
 2014-Jul-07 00:00     1.7481350317E+08  35.198958 -53.021573
 2014-Jul-08 00:00     1.7530459407E+08  35.916584 -53.563293
 2014-Jul-09 00:00     1.7578866641E+08  36.648569 -54.097650
 2014-Jul-10 00:00     1.7626568960E+08  37.395390 -54.624585
 2014-Jul-11 00:00     1.7673563427E+08  38.157531 -55.144030
 2014-Jul-12 00:00     1.7719847228E+08  38.935481 -55.655911
 2014-Jul-13 00:00     1.7765417662E+08  39.729736 -56.160143
