*******************************************************************************
 2014-Feb-10 00:00     3.3147593155E+08  14.785863 -33.980981
 2014-Feb-11 00:00     3.3141032365E+08  14.884380 -34.198086
 2014-Feb-12 00:00     3.3134110744E+08  14.983445 -34.415201
 2014-Feb-13 00:00     3.3126828251E+08  15.083067 -34.632328
 2014-Feb-14 00:00     3.3119184847E+08  15.183256 -34.849471
 2014-Feb-15 00:00     3.3111180489E+08  15.284022 -35.066633
 2014-Feb-16 00:00     3.3102815133E+08  15.385374 -35.283819
 2014-Feb-17 00:00     3.3094088733E+08  15.487324 -35.501031
 2014-Feb-18 00:00     3.3085001240E+08  15.589880 -35.718274
 2014-Feb-19 00:00     3.3075552605E+08  15.693054 -35.935551
 2014-Feb-20 00:00     3.3065742775E+08  15.796856 -36.152865
 2014-Feb-21 00:00     3.3055571697E+08  15.901297 -36.370220
 2014-Feb-22 00:00     3.3045039315E+08  16.006388 -36.587619
 2014-Feb-23 00:00     3.3034145573E+08  16.112141 -36.805066
 2014-Feb-24 00:00     3.3022890409E+08  16.218566 -37.022565
 2014-Feb-25 00:00     3.3011273765E+08  16.325676 -37.240118
 2014-Feb-26 00:00     3.2999295576E+08  16.433483 -37.457730
 2014-Feb-27 00:00     3.2986955778E+08  16.541997 -37.675403
 2014-Feb-28 00:00     3.2974254304E+08  16.651233 -37.893141
 2014-Mar-01 00:00     3.2961191088E+08  16.761202 -38.110947
 2014-Mar-02 00:00     3.2947766057E+08  16.871916 -38.328825
 2014-Mar-03 00:00     3.2933979141E+08  16.983390 -38.546778
 2014-Mar-04 00:00     3.2919830267E+08  17.095636 -38.764810
 2014-Mar-05 00:00     3.2905319359E+08  17.208668 -38.982922
 2014-Mar-06 00:00     3.2890446340E+08  17.322500 -39.201120
 2014-Mar-07 00:00     3.2875211132E+08  17.437145 -39.419406
 2014-Mar-08 00:00     3.2859613656E+08  17.552618 -39.637783
 2014-Mar-09 00:00     3.2843653828E+08  17.668934 -39.856254
 2014-Mar-10 00:00     3.2827331566E+08  17.786107 -40.074823
 2014-Mar-11 00:00     3.2810646785E+08  17.904153 -40.293493
 2014-Mar-12 00:00     3.2793599399E+08  18.023087 -40.512266
 2014-Mar-13 00:00     3.2776189318E+08  18.142925 -40.731146
