*******************************************************************************
 2014-Feb-10 00:00     1.7514303809E+08 169.023143 -21.854166
 2014-Feb-11 00:00     1.7456192548E+08 169.459508 -21.318829
 2014-Feb-12 00:00     1.7397253159E+08 169.895593 -20.778777
 2014-Feb-13 00:00     1.7337488265E+08 170.331510 -20.233939
 2014-Feb-14 00:00     1.7276900637E+08 170.767373 -19.684241
 2014-Feb-15 00:00     1.7215493207E+08 171.203298 -19.129608
 2014-Feb-16 00:00     1.7153269072E+08 171.639402 -18.569963
 2014-Feb-17 00:00     1.7090231503E+08 172.075806 -18.005225
 2014-Feb-18 00:00     1.7026383954E+08 172.512631 -17.435314
 2014-Feb-19 00:00     1.6961730071E+08 172.950001 -16.860144
 2014-Feb-20 00:00     1.6896273701E+08 173.388043 -16.279631
 2014-Feb-21 00:00     1.6830018903E+08 173.826886 -15.693684
 2014-Feb-22 00:00     1.6762969957E+08 174.266661 -15.102214
 2014-Feb-23 00:00     1.6695131374E+08 174.707504 -14.505128
 2014-Feb-24 00:00     1.6626507908E+08 175.149554 -13.902331
 2014-Feb-25 00:00     1.6557104571E+08 175.592952 -13.293725
 2014-Feb-26 00:00     1.6486926638E+08 176.037844 -12.679210
 2014-Feb-27 00:00     1.6415979668E+08 176.484379 -12.058684
 2014-Feb-28 00:00     1.6344269512E+08 176.932712 -11.432044
 2014-Mar-01 00:00     1.6271802328E+08 177.383001 -10.799181
 2014-Mar-02 00:00     1.6198584598E+08 177.835409 -10.159988
 2014-Mar-03 00:00     1.6124623141E+08 178.290106  -9.514353
 2014-Mar-04 00:00     1.6049925130E+08 178.747264  -8.862163
 2014-Mar-05 00:00     1.5974498110E+08 179.207065  -8.203301
 2014-Mar-06 00:00     1.5898350013E+08 179.669696  -7.537649
 2014-Mar-07 00:00     1.5821489179E+08 180.135348  -6.865088
 2014-Mar-08 00:00     1.5743924372E+08 180.604224  -6.185496
 2014-Mar-09 00:00     1.5665664806E+08 181.076531  -5.498747
 2014-Mar-10 00:00     1.5586720159E+08 181.552486  -4.804715
 2014-Mar-11 00:00     1.5507100599E+08 182.032313  -4.103272
 2014-Mar-12 00:00     1.5426816808E+08 182.516249  -3.394288
 2014-Mar-13 00:00     1.5345880003E+08 183.004537  -2.677630
 2014-Mar-14 00:00     1.5264301960E+08 183.497434  -1.953166
 2014-Mar-15 00:00     1.5182095046E+08 183.995206  -1.220760
 2014-Mar-16 00:00     1.5099272240E+08 184.498133  -0.480276
 2014-Mar-17 00:00     1.5015847165E+08 185.006507   0.268423
 2014-Mar-18 00:00     1.4931834114E+08 185.520635   1.025474
 2014-Mar-19 00:00     1.4847248087E+08 186.040838   1.791018
 2014-Mar-20 00:00     1.4762104815E+08 186.567455   2.565192
 2014-Mar-21 00:00     1.4676420799E+08 187.100840   3.348136
 2014-Mar-22 00:00     1.4590213345E+08 187.641369   4.139987
 2014-Mar-23 00:00     1.4503500595E+08 188.189433   4.940883
 2014-Mar-24 00:00     1.4416301569E+08 188.745450   5.750960
 2014-Mar-25 00:00     1.4328636202E+08 189.309856   6.570353
 2014-Mar-26 00:00     1.4240525383E+08 189.883117   7.399192
 2014-Mar-27 00:00     1.4151991000E+08 190.465721   8.237606
 2014-Mar-28 00:00     1.4063055980E+08 191.058188   9.085719
 2014-Mar-29 00:00     1.3973744332E+08 191.661067   9.943651
 2014-Mar-30 00:00     1.3884081197E+08 192.274942  10.811516
