*******************************************************************************
 2014-Feb-11 00:00     1.8688660945E+08  21.455309 -33.091152
 2014-Feb-12 00:00     1.8652709504E+08  21.842162 -33.689232
 2014-Feb-13 00:00     1.8616538239E+08  22.235933 -34.288473
 2014-Feb-14 00:00     1.8580151415E+08  22.636908 -34.888831
 2014-Feb-15 00:00     1.8543553378E+08  23.045379 -35.490260
 2014-Feb-16 00:00     1.8506748556E+08  23.461651 -36.092710
 2014-Feb-17 00:00     1.8469741459E+08  23.886045 -36.696133
 2014-Feb-18 00:00     1.8432536683E+08  24.318890 -37.300476
 2014-Feb-19 00:00     1.8395138906E+08  24.760535 -37.905683
 2014-Feb-20 00:00     1.8357552895E+08  25.211343 -38.511696
 2014-Feb-21 00:00     1.8319783503E+08  25.671694 -39.118451
 2014-Feb-22 00:00     1.8281835673E+08  26.141987 -39.725880
 2014-Feb-23 00:00     1.8243714435E+08  26.622640 -40.333912
 2014-Feb-24 00:00     1.8205424913E+08  27.114093 -40.942468
 2014-Feb-25 00:00     1.8166972321E+08  27.616805 -41.551464
 2014-Feb-26 00:00     1.8128361965E+08  28.131259 -42.160811
 2014-Feb-27 00:00     1.8089599248E+08  28.657965 -42.770412
 2014-Feb-28 00:00     1.8050689665E+08  29.197453 -43.380163
 2014-Mar-01 00:00     1.8011638810E+08  29.750287 -43.989952
 2014-Mar-02 00:00     1.7972452372E+08  30.317053 -44.599660
 2014-Mar-03 00:00     1.7933136140E+08  30.898371 -45.209157
 2014-Mar-04 00:00     1.7893696001E+08  31.494892 -45.818305
 2014-Mar-05 00:00     1.7854137942E+08  32.107300 -46.426954
 2014-Mar-06 00:00     1.7814468053E+08  32.736315 -47.034944
 2014-Mar-07 00:00     1.7774692524E+08  33.382692 -47.642104
 2014-Mar-08 00:00     1.7734817649E+08  34.047227 -48.248247
 2014-Mar-09 00:00     1.7694849826E+08  34.730755 -48.853175
 2014-Mar-10 00:00     1.7654795557E+08  35.434154 -49.456675
 2014-Mar-11 00:00     1.7614661451E+08  36.158345 -50.058517
 2014-Mar-12 00:00     1.7574454221E+08  36.904298 -50.658455
 2014-Mar-13 00:00     1.7534180688E+08  37.673028 -51.256224
 2014-Mar-14 00:00     1.7493847781E+08  38.465599 -51.851539
 2014-Mar-15 00:00     1.7453462537E+08  39.283128 -52.444096
 2014-Mar-16 00:00     1.7413032101E+08  40.126782 -53.033567
 2014-Mar-17 00:00     1.7372563727E+08  40.997782 -53.619600
 2014-Mar-18 00:00     1.7332064780E+08  41.897401 -54.201819
 2014-Mar-19 00:00     1.7291542734E+08  42.826967 -54.779817
 2014-Mar-20 00:00     1.7251005174E+08  43.787860 -55.353162
 2014-Mar-21 00:00     1.7210459794E+08  44.781512 -55.921389
 2014-Mar-22 00:00     1.7169914402E+08  45.809404 -56.483997
 2014-Mar-23 00:00     1.7129376912E+08  46.873062 -57.040456
 2014-Mar-24 00:00     1.7088855354E+08  47.974054 -57.590192
 2014-Mar-25 00:00     1.7048357864E+08  49.113986 -58.132597
 2014-Mar-26 00:00     1.7007892692E+08  50.294487 -58.667018
 2014-Mar-27 00:00     1.6967468196E+08  51.517206 -59.192761
 2014-Mar-28 00:00     1.6927092844E+08  52.783797 -59.709084
 2014-Mar-29 00:00     1.6886775216E+08  54.095902 -60.215202
 2014-Mar-30 00:00     1.6846523997E+08  55.455135 -60.710277
 2014-Mar-31 00:00     1.6806347983E+08  56.863062 -61.193424
 2014-Apr-01 00:00     1.6766256075E+08  58.321171 -61.663708
 2014-Apr-02 00:00     1.6726257282E+08  59.830847 -62.120142
 2014-Apr-03 00:00     1.6686360716E+08  61.393339 -62.561691
 2014-Apr-04 00:00     1.6646575597E+08  63.009720 -62.987271
 2014-Apr-05 00:00     1.6606911243E+08  64.680849 -63.395750
 2014-Apr-06 00:00     1.6567377075E+08  66.407323 -63.785957
 2014-Apr-07 00:00     1.6527982616E+08  68.189435 -64.156680
 2014-Apr-08 00:00     1.6488737482E+08  70.027122 -64.506677
 2014-Apr-09 00:00     1.6449651388E+08  71.919916 -64.834684
 2014-Apr-10 00:00     1.6410734141E+08  73.866896 -65.139419
 2014-Apr-11 00:00     1.6371995641E+08  75.866645 -65.419599
 2014-Apr-12 00:00     1.6333445876E+08  77.917209 -65.673950
 2014-Apr-13 00:00     1.6295094920E+08  80.016068 -65.901220
 2014-Apr-14 00:00     1.6256952930E+08  82.160116 -66.100197
 2014-Apr-15 00:00     1.6219030146E+08  84.345658 -66.269723
 2014-Apr-16 00:00     1.6181336882E+08  86.568420 -66.408711
 2014-Apr-17 00:00     1.6143883527E+08  88.823575 -66.516164
 2014-Apr-18 00:00     1.6106680543E+08  91.105795 -66.591187
 2014-Apr-19 00:00     1.6069738454E+08  93.409314 -66.633005
 2014-Apr-20 00:00     1.6033067852E+08  95.728012 -66.640976
 2014-Apr-21 00:00     1.5996679382E+08  98.055511 -66.614600
 2014-Apr-22 00:00     1.5960583747E+08 100.385287 -66.553527
 2014-Apr-23 00:00     1.5924791698E+08 102.710781 -66.457564
 2014-Apr-24 00:00     1.5889314031E+08 105.025521 -66.326674
 2014-Apr-25 00:00     1.5854161583E+08 107.323229 -66.160973
 2014-Apr-26 00:00     1.5819345222E+08 109.597926 -65.960727
 2014-Apr-27 00:00     1.5784875849E+08 111.844030 -65.726342
 2014-Apr-28 00:00     1.5750764387E+08 114.056423 -65.458353
 2014-Apr-29 00:00     1.5717021775E+08 116.230518 -65.157412
 2014-Apr-30 00:00     1.5683658966E+08 118.362289 -64.824272
 2014-May-01 00:00     1.5650686917E+08 120.448299 -64.459773
 2014-May-02 00:00     1.5618116582E+08 122.485702 -64.064826
 2014-May-03 00:00     1.5585958911E+08 124.472230 -63.640399
 2014-May-04 00:00     1.5554224837E+08 126.406169 -63.187501
 2014-May-05 00:00     1.5522925269E+08 128.286325 -62.707168
 2014-May-06 00:00     1.5492071090E+08 130.111986 -62.200454
 2014-May-07 00:00     1.5461673144E+08 131.882869 -61.668416
 2014-May-08 00:00     1.5431742233E+08 133.599076 -61.112108
 2014-May-09 00:00     1.5402289104E+08 135.261043 -60.532571
 2014-May-10 00:00     1.5373324445E+08 136.869494 -59.930825
 2014-May-11 00:00     1.5344858877E+08 138.425391 -59.307869
 2014-May-12 00:00     1.5316902942E+08 139.929894 -58.664669
 2014-May-13 00:00     1.5289467097E+08 141.384322 -58.002164
 2014-May-14 00:00     1.5262561707E+08 142.790117 -57.321255
 2014-May-15 00:00     1.5236197033E+08 144.148811 -56.622810
 2014-May-16 00:00     1.5210383225E+08 145.462002 -55.907662
 2014-May-17 00:00     1.5185130314E+08 146.731326 -55.176605
 2014-May-18 00:00     1.5160448201E+08 147.958443 -54.430400
 2014-May-19 00:00     1.5136346647E+08 149.145014 -53.669773
 2014-May-20 00:00     1.5112835269E+08 150.292692 -52.895415
 2014-May-21 00:00     1.5089923526E+08 151.403106 -52.107985
 2014-May-22 00:00     1.5067620710E+08 152.477856 -51.308110
 2014-May-23 00:00     1.5045935941E+08 153.518505 -50.496387
 2014-May-24 00:00     1.5024878153E+08 154.526572 -49.673387
 2014-May-25 00:00     1.5004456089E+08 155.503527 -48.839650
 2014-May-26 00:00     1.4984678287E+08 156.450794 -47.995695
 2014-May-27 00:00     1.4965553077E+08 157.369742 -47.142013
 2014-May-28 00:00     1.4947088567E+08 158.261688 -46.279076
 2014-May-29 00:00     1.4929292637E+08 159.127898 -45.407333
 2014-May-30 00:00     1.4912172931E+08 159.969582 -44.527215
 2014-May-31 00:00     1.4895736844E+08 160.787902 -43.639132
 2014-Jun-01 00:00     1.4879991520E+08 161.583965 -42.743479
 2014-Jun-02 00:00     1.4864943839E+08 162.358832 -41.840635
 2014-Jun-03 00:00     1.4850600411E+08 163.113514 -40.930963
 2014-Jun-04 00:00     1.4836967566E+08 163.848976 -40.014814
 2014-Jun-05 00:00     1.4824051353E+08 164.566138 -39.092523
 2014-Jun-06 00:00     1.4811857524E+08 165.265878 -38.164417
 2014-Jun-07 00:00     1.4800391533E+08 165.949033 -37.230808
 2014-Jun-08 00:00     1.4789658528E+08 166.616400 -36.291999
 2014-Jun-09 00:00     1.4779663343E+08 167.268739 -35.348285
 2014-Jun-10 00:00     1.4770410495E+08 167.906776 -34.399950
 2014-Jun-11 00:00     1.4761904177E+08 168.531202 -33.447269
 2014-Jun-12 00:00     1.4754148250E+08 169.142675 -32.490511
 2014-Jun-13 00:00     1.4747146244E+08 169.741825 -31.529937
 2014-Jun-14 00:00     1.4740901347E+08 170.329253 -30.565799
 2014-Jun-15 00:00     1.4735416407E+08 170.905530 -29.598345
 2014-Jun-16 00:00     1.4730693924E+08 171.471206 -28.627816
 2014-Jun-17 00:00     1.4726736048E+08 172.026803 -27.654447
 2014-Jun-18 00:00     1.4723544577E+08 172.572821 -26.678468
 2014-Jun-19 00:00     1.4721120955E+08 173.109739 -25.700103
 2014-Jun-20 00:00     1.4719466267E+08 173.638016 -24.719572
 2014-Jun-21 00:00     1.4718581243E+08 174.158092 -23.737090
 2014-Jun-22 00:00     1.4718466251E+08 174.670386 -22.752867
 2014-Jun-23 00:00     1.4719121301E+08 175.175304 -21.767109
 2014-Jun-24 00:00     1.4720546043E+08 175.673233 -20.780019
 2014-Jun-25 00:00     1.4722739768E+08 176.164547 -19.791795
 2014-Jun-26 00:00     1.4725701410E+08 176.649604 -18.802631
 2014-Jun-27 00:00     1.4729429543E+08 177.128749 -17.812717
 2014-Jun-28 00:00     1.4733922390E+08 177.602317 -16.822241
 2014-Jun-29 00:00     1.4739177818E+08 178.070628 -15.831387
 2014-Jun-30 00:00     1.4745193347E+08 178.533992 -14.840335
 2014-Jul-01 00:00     1.4751966147E+08 178.992709 -13.849262
 2014-Jul-02 00:00     1.4759493048E+08 179.447069 -12.858341
 2014-Jul-03 00:00     1.4767770539E+08 179.897355 -11.867744
 2014-Jul-04 00:00     1.4776794774E+08 180.343837 -10.877637
 2014-Jul-05 00:00     1.4786561581E+08 180.786782  -9.888186
 2014-Jul-06 00:00     1.4797066457E+08 181.226447  -8.899552
 2014-Jul-07 00:00     1.4808304587E+08 181.663083  -7.911894
 2014-Jul-08 00:00     1.4820270838E+08 182.096934  -6.925367
 2014-Jul-09 00:00     1.4832959772E+08 182.528239  -5.940124
 2014-Jul-10 00:00     1.4846365651E+08 182.957231  -4.956315
 2014-Jul-11 00:00     1.4860482444E+08 183.384138  -3.974087
 2014-Jul-12 00:00     1.4875303834E+08 183.809184  -2.993585
 2014-Jul-13 00:00     1.4890823225E+08 184.232590  -2.014950
 2014-Jul-14 00:00     1.4907033749E+08 184.654570  -1.038321
 2014-Jul-15 00:00     1.4923928278E+08 185.075338  -0.063834
 2014-Jul-16 00:00     1.4941499428E+08 185.495102   0.908377
 2014-Jul-17 00:00     1.4959739567E+08 185.914071   1.878181
 2014-Jul-18 00:00     1.4978640827E+08 186.332449   2.845450
 2014-Jul-19 00:00     1.4998195110E+08 186.750438   3.810058
 2014-Jul-20 00:00     1.5018394098E+08 187.168239   4.771881
 2014-Jul-21 00:00     1.5039229260E+08 187.586054   5.730800
 2014-Jul-22 00:00     1.5060691865E+08 188.004079   6.686695
 2014-Jul-23 00:00     1.5082772986E+08 188.422514   7.639450
 2014-Jul-24 00:00     1.5105463512E+08 188.841555   8.588952
 2014-Jul-25 00:00     1.5128754159E+08 189.261402   9.535088
 2014-Jul-26 00:00     1.5152635472E+08 189.682252  10.477751
 2014-Jul-27 00:00     1.5177097845E+08 190.104303  11.416833
 2014-Jul-28 00:00     1.5202131519E+08 190.527754  12.352228
 2014-Jul-29 00:00     1.5227726599E+08 190.952807  13.283835
