*******************************************************************************
 2014-Feb-12 00:00     2.4530384083E+08 331.570581  44.230665
 2014-Feb-13 00:00     2.4591815178E+08 332.000864  43.944560
 2014-Feb-14 00:00     2.4652929704E+08 332.424912  43.658286
 2014-Feb-15 00:00     2.4713725980E+08 332.842867  43.371879
 2014-Feb-16 00:00     2.4774202368E+08 333.254871  43.085373
 2014-Feb-17 00:00     2.4834357276E+08 333.661060  42.798802
 2014-Feb-18 00:00     2.4894189153E+08 334.061569  42.512195
 2014-Feb-19 00:00     2.4953696491E+08 334.456528  42.225583
 2014-Feb-20 00:00     2.5012877821E+08 334.846065  41.938994
 2014-Feb-21 00:00     2.5071731716E+08 335.230303  41.652454
 2014-Feb-22 00:00     2.5130256786E+08 335.609364  41.365990
 2014-Feb-23 00:00     2.5188451679E+08 335.983366  41.079624
 2014-Feb-24 00:00     2.5246315081E+08 336.352423  40.793381
 2014-Feb-25 00:00     2.5303845712E+08 336.716648  40.507281
 2014-Feb-26 00:00     2.5361042329E+08 337.076149  40.221346
 2014-Feb-27 00:00     2.5417903723E+08 337.431035  39.935594
 2014-Feb-28 00:00     2.5474428716E+08 337.781407  39.650045
 2014-Mar-01 00:00     2.5530616165E+08 338.127368  39.364715
 2014-Mar-02 00:00     2.5586464957E+08 338.469015  39.079622
 2014-Mar-03 00:00     2.5641974012E+08 338.806446  38.794780
 2014-Mar-04 00:00     2.5697142278E+08 339.139754  38.510205
 2014-Mar-05 00:00     2.5751968732E+08 339.469030  38.225911
 2014-Mar-06 00:00     2.5806452383E+08 339.794363  37.941910
 2014-Mar-07 00:00     2.5860592265E+08 340.115840  37.658215
 2014-Mar-08 00:00     2.5914387439E+08 340.433545  37.374838
 2014-Mar-09 00:00     2.5967836994E+08 340.747561  37.091790
 2014-Mar-10 00:00     2.6020940044E+08 341.057969  36.809080
 2014-Mar-11 00:00     2.6073695729E+08 341.364846  36.526718
 2014-Mar-12 00:00     2.6126103212E+08 341.668269  36.244714
 2014-Mar-13 00:00     2.6178161683E+08 341.968313  35.963075
 2014-Mar-14 00:00     2.6229870352E+08 342.265050  35.681810
 2014-Mar-15 00:00     2.6281228454E+08 342.558551  35.400926
 2014-Mar-16 00:00     2.6332235245E+08 342.848885  35.120429
 2014-Mar-17 00:00     2.6382890002E+08 343.136120  34.840326
 2014-Mar-18 00:00     2.6433192026E+08 343.420322  34.560623
 2014-Mar-19 00:00     2.6483140635E+08 343.701554  34.281325
 2014-Mar-20 00:00     2.6532735169E+08 343.979879  34.002437
 2014-Mar-21 00:00     2.6581974989E+08 344.255358  33.723962
 2014-Mar-22 00:00     2.6630859471E+08 344.528051  33.445907
 2014-Mar-23 00:00     2.6679388012E+08 344.798016  33.168273
 2014-Mar-24 00:00     2.6727560028E+08 345.065310  32.891065
 2014-Mar-25 00:00     2.6775374950E+08 345.329988  32.614286
 2014-Mar-26 00:00     2.6822832228E+08 345.592104  32.337938
 2014-Mar-27 00:00     2.6869931329E+08 345.851711  32.062023
 2014-Mar-28 00:00     2.6916671735E+08 346.108860  31.786543
 2014-Mar-29 00:00     2.6963052944E+08 346.363603  31.511501
 2014-Mar-30 00:00     2.7009074470E+08 346.615988  31.236897
 2014-Mar-31 00:00     2.7054735842E+08 346.866062  30.962733
 2014-Apr-01 00:00     2.7100036603E+08 347.113874  30.689010
 2014-Apr-02 00:00     2.7144976311E+08 347.359469  30.415729
 2014-Apr-03 00:00     2.7189554537E+08 347.602892  30.142889
 2014-Apr-04 00:00     2.7233770867E+08 347.844186  29.870491
 2014-Apr-05 00:00     2.7277624899E+08 348.083394  29.598535
 2014-Apr-06 00:00     2.7321116244E+08 348.320558  29.327022
 2014-Apr-07 00:00     2.7364244525E+08 348.555720  29.055949
 2014-Apr-08 00:00     2.7407009379E+08 348.788918  28.785318
 2014-Apr-09 00:00     2.7449410452E+08 349.020192  28.515126
 2014-Apr-10 00:00     2.7491447405E+08 349.249581  28.245374
 2014-Apr-11 00:00     2.7533119906E+08 349.477121  27.976059
 2014-Apr-12 00:00     2.7574427638E+08 349.702849  27.707182
 2014-Apr-13 00:00     2.7615370291E+08 349.926801  27.438739
 2014-Apr-14 00:00     2.7655947569E+08 350.149013  27.170730
 2014-Apr-15 00:00     2.7696159182E+08 350.369517  26.903154
 2014-Apr-16 00:00     2.7736004854E+08 350.588348  26.636007
 2014-Apr-17 00:00     2.7775484315E+08 350.805539  26.369288
 2014-Apr-18 00:00     2.7814597306E+08 351.021121  26.102996
 2014-Apr-19 00:00     2.7853343576E+08 351.235127  25.837127
 2014-Apr-20 00:00     2.7891722884E+08 351.447586  25.571680
 2014-Apr-21 00:00     2.7929734997E+08 351.658529  25.306652
 2014-Apr-22 00:00     2.7967379689E+08 351.867986  25.042041
 2014-Apr-23 00:00     2.8004656744E+08 352.075986  24.777843
 2014-Apr-24 00:00     2.8041565952E+08 352.282556  24.514057
 2014-Apr-25 00:00     2.8078107113E+08 352.487725  24.250679
