*******************************************************************************
 2014-Jan-30 00:00     4.8256718686E+08 154.643426 -37.119668
 2014-Jan-31 00:00     4.8293026332E+08 154.715325 -37.050314
 2014-Feb-01 00:00     4.8329028310E+08 154.786986 -36.981020
 2014-Feb-02 00:00     4.8364724983E+08 154.858409 -36.911785
 2014-Feb-03 00:00     4.8400116716E+08 154.929599 -36.842611
 2014-Feb-04 00:00     4.8435203864E+08 155.000556 -36.773494
 2014-Feb-05 00:00     4.8469986783E+08 155.071284 -36.704436
 2014-Feb-06 00:00     4.8504465822E+08 155.141783 -36.635434
 2014-Feb-07 00:00     4.8538641330E+08 155.212057 -36.566489
 2014-Feb-08 00:00     4.8572513649E+08 155.282107 -36.497599
 2014-Feb-09 00:00     4.8606083119E+08 155.351936 -36.428765
 2014-Feb-10 00:00     4.8639350077E+08 155.421544 -36.359984
 2014-Feb-11 00:00     4.8672314854E+08 155.490936 -36.291257
 2014-Feb-12 00:00     4.8704977781E+08 155.560112 -36.222583
 2014-Feb-13 00:00     4.8737339182E+08 155.629074 -36.153961
 2014-Feb-14 00:00     4.8769399380E+08 155.697825 -36.085390
 2014-Feb-15 00:00     4.8801158693E+08 155.766366 -36.016870
 2014-Feb-16 00:00     4.8832617436E+08 155.834699 -35.948400
 2014-Feb-17 00:00     4.8863775921E+08 155.902827 -35.879979
 2014-Feb-18 00:00     4.8894634457E+08 155.970750 -35.811607
 2014-Feb-19 00:00     4.8925193347E+08 156.038472 -35.743282
 2014-Feb-20 00:00     4.8955452894E+08 156.105993 -35.675005
 2014-Feb-21 00:00     4.8985413395E+08 156.173316 -35.606774
 2014-Feb-22 00:00     4.9015075145E+08 156.240443 -35.538589
 2014-Feb-23 00:00     4.9044438436E+08 156.307374 -35.470450
 2014-Feb-24 00:00     4.9073503555E+08 156.374113 -35.402354
 2014-Feb-25 00:00     4.9102270787E+08 156.440661 -35.334302
 2014-Feb-26 00:00     4.9130740413E+08 156.507019 -35.266294
 2014-Feb-27 00:00     4.9158912711E+08 156.573189 -35.198328
 2014-Feb-28 00:00     4.9186787956E+08 156.639174 -35.130403
 2014-Mar-01 00:00     4.9214366420E+08 156.704974 -35.062519
 2014-Mar-02 00:00     4.9241648371E+08 156.770591 -34.994676
 2014-Mar-03 00:00     4.9268634073E+08 156.836028 -34.926873
 2014-Mar-04 00:00     4.9295323789E+08 156.901286 -34.859108
 2014-Mar-05 00:00     4.9321717777E+08 156.966365 -34.791382
 2014-Mar-06 00:00     4.9347816293E+08 157.031269 -34.723693
 2014-Mar-07 00:00     4.9373619589E+08 157.095999 -34.656041
 2014-Mar-08 00:00     4.9399127913E+08 157.160555 -34.588426
 2014-Mar-09 00:00     4.9424341512E+08 157.224941 -34.520846
 2014-Mar-10 00:00     4.9449260629E+08 157.289157 -34.453301
 2014-Mar-11 00:00     4.9473885503E+08 157.353205 -34.385790
 2014-Mar-12 00:00     4.9498216370E+08 157.417086 -34.318313
 2014-Mar-13 00:00     4.9522253465E+08 157.480802 -34.250869
 2014-Mar-14 00:00     4.9545997017E+08 157.544355 -34.183457
 2014-Mar-15 00:00     4.9569447254E+08 157.607746 -34.116077
 2014-Mar-16 00:00     4.9592604399E+08 157.670976 -34.048728
 2014-Mar-17 00:00     4.9615468675E+08 157.734048 -33.981409
 2014-Mar-18 00:00     4.9638040299E+08 157.796961 -33.914120
 2014-Mar-19 00:00     4.9660319486E+08 157.859719 -33.846860
 2014-Mar-20 00:00     4.9682306449E+08 157.922322 -33.779628
 2014-Mar-21 00:00     4.9704001396E+08 157.984772 -33.712424
 2014-Mar-22 00:00     4.9725404533E+08 158.047071 -33.645246
 2014-Mar-23 00:00     4.9746516064E+08 158.109218 -33.578095
 2014-Mar-24 00:00     4.9767336188E+08 158.171217 -33.510970
 2014-Mar-25 00:00     4.9787865103E+08 158.233068 -33.443870
 2014-Mar-26 00:00     4.9808103003E+08 158.294774 -33.376795
 2014-Mar-27 00:00     4.9828050079E+08 158.356334 -33.309743
 2014-Mar-28 00:00     4.9847706519E+08 158.417750 -33.242714
 2014-Mar-29 00:00     4.9867072509E+08 158.479025 -33.175707
 2014-Mar-30 00:00     4.9886148231E+08 158.540158 -33.108723
 2014-Mar-31 00:00     4.9904933864E+08 158.601152 -33.041760
 2014-Apr-01 00:00     4.9923429586E+08 158.662008 -32.974817
 2014-Apr-02 00:00     4.9941635570E+08 158.722727 -32.907894
 2014-Apr-03 00:00     4.9959551987E+08 158.783311 -32.840990
 2014-Apr-04 00:00     4.9977179005E+08 158.843760 -32.774105
 2014-Apr-05 00:00     4.9994516788E+08 158.904076 -32.707237
 2014-Apr-06 00:00     5.0011565500E+08 158.964260 -32.640387
 2014-Apr-07 00:00     5.0028325299E+08 159.024313 -32.573554
 2014-Apr-08 00:00     5.0044796343E+08 159.084237 -32.506737
 2014-Apr-09 00:00     5.0060978784E+08 159.144034 -32.439935
 2014-Apr-10 00:00     5.0076872775E+08 159.203703 -32.373147
 2014-Apr-11 00:00     5.0092478462E+08 159.263246 -32.306374
 2014-Apr-12 00:00     5.0107795992E+08 159.322665 -32.239614
 2014-Apr-13 00:00     5.0122825507E+08 159.381961 -32.172867
 2014-Apr-14 00:00     5.0137567146E+08 159.441135 -32.106133
 2014-Apr-15 00:00     5.0152021046E+08 159.500188 -32.039409
 2014-Apr-16 00:00     5.0166187342E+08 159.559121 -31.972697
 2014-Apr-17 00:00     5.0180066164E+08 159.617936 -31.905994
 2014-Apr-18 00:00     5.0193657643E+08 159.676633 -31.839302
 2014-Apr-19 00:00     5.0206961902E+08 159.735214 -31.772618
 2014-Apr-20 00:00     5.0219979066E+08 159.793680 -31.705943
 2014-Apr-21 00:00     5.0232709254E+08 159.852031 -31.639275
 2014-Apr-22 00:00     5.0245152584E+08 159.910270 -31.572614
 2014-Apr-23 00:00     5.0257309172E+08 159.968397 -31.505960
 2014-Apr-24 00:00     5.0269179129E+08 160.026414 -31.439311
 2014-Apr-25 00:00     5.0280762564E+08 160.084321 -31.372668
 2014-Apr-26 00:00     5.0292059584E+08 160.142119 -31.306029
