*******************************************************************************
 2014-Feb-12 00:00     2.9640166924E+08   3.146639   6.334053
 2014-Feb-13 00:00     2.9768274159E+08   3.247982   6.062427
 2014-Feb-14 00:00     2.9896015805E+08   3.348358   5.793106
 2014-Feb-15 00:00     3.0023391795E+08   3.447786   5.526055
 2014-Feb-16 00:00     3.0150402104E+08   3.546289   5.261239
 2014-Feb-17 00:00     3.0277046745E+08   3.643883   4.998625
 2014-Feb-18 00:00     3.0403325771E+08   3.740589   4.738180
 2014-Feb-19 00:00     3.0529239269E+08   3.836425   4.479872
 2014-Feb-20 00:00     3.0654787363E+08   3.931409   4.223669
 2014-Feb-21 00:00     3.0779970209E+08   4.025557   3.969541
 2014-Feb-22 00:00     3.0904787994E+08   4.118887   3.717456
 2014-Feb-23 00:00     3.1029240938E+08   4.211416   3.467386
 2014-Feb-24 00:00     3.1153329288E+08   4.303158   3.219301
 2014-Feb-25 00:00     3.1277053321E+08   4.394130   2.973172
 2014-Feb-26 00:00     3.1400413339E+08   4.484346   2.728971
 2014-Feb-27 00:00     3.1523409671E+08   4.573822   2.486670
 2014-Feb-28 00:00     3.1646042669E+08   4.662571   2.246244
 2014-Mar-01 00:00     3.1768312710E+08   4.750608   2.007664
 2014-Mar-02 00:00     3.1890220193E+08   4.837945   1.770906
 2014-Mar-03 00:00     3.2011765539E+08   4.924597   1.535942
 2014-Mar-04 00:00     3.2132949187E+08   5.010576   1.302750
 2014-Mar-05 00:00     3.2253771598E+08   5.095895   1.071303
 2014-Mar-06 00:00     3.2374233253E+08   5.180565   0.841577
 2014-Mar-07 00:00     3.2494334646E+08   5.264600   0.613550
 2014-Mar-08 00:00     3.2614076293E+08   5.348009   0.387197
 2014-Mar-09 00:00     3.2733458724E+08   5.430806   0.162496
 2014-Mar-10 00:00     3.2852482484E+08   5.513000  -0.060576
 2014-Mar-11 00:00     3.2971148134E+08   5.594602  -0.282041
 2014-Mar-12 00:00     3.3089456249E+08   5.675624  -0.501919
 2014-Mar-13 00:00     3.3207407416E+08   5.756075  -0.720234
 2014-Mar-14 00:00     3.3325002237E+08   5.835966  -0.937004
 2014-Mar-15 00:00     3.3442241324E+08   5.915306  -1.152252
 2014-Mar-16 00:00     3.3559125302E+08   5.994104  -1.365997
 2014-Mar-17 00:00     3.3675654805E+08   6.072371  -1.578258
 2014-Mar-18 00:00     3.3791830481E+08   6.150115  -1.789056
 2014-Mar-19 00:00     3.3907652985E+08   6.227345  -1.998408
 2014-Mar-20 00:00     3.4023122980E+08   6.304070  -2.206335
 2014-Mar-21 00:00     3.4138241143E+08   6.380298  -2.412855
 2014-Mar-22 00:00     3.4253008153E+08   6.456038  -2.617984
 2014-Mar-23 00:00     3.4367424703E+08   6.531298  -2.821742
 2014-Mar-24 00:00     3.4481491489E+08   6.606086  -3.024146
 2014-Mar-25 00:00     3.4595209216E+08   6.680409  -3.225213
 2014-Mar-26 00:00     3.4708578595E+08   6.754276  -3.424960
 2014-Mar-27 00:00     3.4821600344E+08   6.827693  -3.623403
 2014-Mar-28 00:00     3.4934275187E+08   6.900668  -3.820559
 2014-Mar-29 00:00     3.5046603851E+08   6.973208  -4.016444
 2014-Mar-30 00:00     3.5158587072E+08   7.045320  -4.211073
 2014-Mar-31 00:00     3.5270225588E+08   7.117011  -4.404463
 2014-Apr-01 00:00     3.5381520142E+08   7.188288  -4.596628
 2014-Apr-02 00:00     3.5492471483E+08   7.259156  -4.787583
 2014-Apr-03 00:00     3.5603080361E+08   7.329624  -4.977343
 2014-Apr-04 00:00     3.5713347531E+08   7.399696  -5.165923
 2014-Apr-05 00:00     3.5823273751E+08   7.469379  -5.353337
 2014-Apr-06 00:00     3.5932859784E+08   7.538679  -5.539599
 2014-Apr-07 00:00     3.6042106392E+08   7.607601  -5.724722
 2014-Apr-08 00:00     3.6151014343E+08   7.676153  -5.908721
 2014-Apr-09 00:00     3.6259584406E+08   7.744339  -6.091609
 2014-Apr-10 00:00     3.6367817350E+08   7.812164  -6.273398
 2014-Apr-11 00:00     3.6475713950E+08   7.879635  -6.454102
 2014-Apr-12 00:00     3.6583274979E+08   7.946757  -6.633734
 2014-Apr-13 00:00     3.6690501213E+08   8.013534  -6.812306
 2014-Apr-14 00:00     3.6797393429E+08   8.079973  -6.989830
 2014-Apr-15 00:00     3.6903952406E+08   8.146078  -7.166318
 2014-Apr-16 00:00     3.7010178921E+08   8.211853  -7.341783
 2014-Apr-17 00:00     3.7116073754E+08   8.277305  -7.516237
 2014-Apr-18 00:00     3.7221637686E+08   8.342437  -7.689690
 2014-Apr-19 00:00     3.7326871497E+08   8.407255  -7.862155
 2014-Apr-20 00:00     3.7431775967E+08   8.471762  -8.033642
 2014-Apr-21 00:00     3.7536351876E+08   8.535964  -8.204162
 2014-Apr-22 00:00     3.7640600006E+08   8.599864  -8.373727
 2014-Apr-23 00:00     3.7744521136E+08   8.663468  -8.542347
 2014-Apr-24 00:00     3.7848116046E+08   8.726778  -8.710033
 2014-Apr-25 00:00     3.7951385515E+08   8.789801  -8.876795
 2014-Apr-26 00:00     3.8054330322E+08   8.852539  -9.042643
 2014-Apr-27 00:00     3.8156951244E+08   8.914996  -9.207587
 2014-Apr-28 00:00     3.8259249059E+08   8.977177  -9.371638
 2014-Apr-29 00:00     3.8361224543E+08   9.039086  -9.534806
 2014-Apr-30 00:00     3.8462878470E+08   9.100726  -9.697098
 2014-May-01 00:00     3.8564211614E+08   9.162101  -9.858527
 2014-May-02 00:00     3.8665224748E+08   9.223215 -10.019099
 2014-May-03 00:00     3.8765918642E+08   9.284071 -10.178826
 2014-May-04 00:00     3.8866294066E+08   9.344673 -10.337716
 2014-May-05 00:00     3.8966351789E+08   9.405024 -10.495777
 2014-May-06 00:00     3.9066092576E+08   9.465128 -10.653020
 2014-May-07 00:00     3.9165517192E+08   9.524988 -10.809451
 2014-May-08 00:00     3.9264626400E+08   9.584608 -10.965081
 2014-May-09 00:00     3.9363420961E+08   9.643991 -11.119917
 2014-May-10 00:00     3.9461901635E+08   9.703140 -11.273969
 2014-May-11 00:00     3.9560069178E+08   9.762058 -11.427243
 2014-May-12 00:00     3.9657924345E+08   9.820748 -11.579748
 2014-May-13 00:00     3.9755467890E+08   9.879213 -11.731492
 2014-May-14 00:00     3.9852700563E+08   9.937457 -11.882483
 2014-May-15 00:00     3.9949623113E+08   9.995483 -12.032729
 2014-May-16 00:00     4.0046236285E+08  10.053292 -12.182238
 2014-May-17 00:00     4.0142540825E+08  10.110889 -12.331016
 2014-May-18 00:00     4.0238537474E+08  10.168275 -12.479072
 2014-May-19 00:00     4.0334226970E+08  10.225454 -12.626412
 2014-May-20 00:00     4.0429610052E+08  10.282429 -12.773045
 2014-May-21 00:00     4.0524687452E+08  10.339202 -12.918976
 2014-May-22 00:00     4.0619459902E+08  10.395775 -13.064214
 2014-May-23 00:00     4.0713928132E+08  10.452152 -13.208764
 2014-May-24 00:00     4.0808092868E+08  10.508335 -13.352635
 2014-May-25 00:00     4.0901954835E+08  10.564326 -13.495832
 2014-May-26 00:00     4.0995514752E+08  10.620129 -13.638363
 2014-May-27 00:00     4.1088773339E+08  10.675745 -13.780233
 2014-May-28 00:00     4.1181731312E+08  10.731176 -13.921450
 2014-May-29 00:00     4.1274389383E+08  10.786426 -14.062020
 2014-May-30 00:00     4.1366748262E+08  10.841497 -14.201949
 2014-May-31 00:00     4.1458808658E+08  10.896390 -14.341243
 2014-Jun-01 00:00     4.1550571274E+08  10.951108 -14.479909
