*******************************************************************************
 2014-Feb-12 00:00     4.8524922676E+08 301.616960  50.738253
 2014-Feb-13 00:00     4.8464958686E+08 301.740030  50.706939
 2014-Feb-14 00:00     4.8404677349E+08 301.863241  50.675418
 2014-Feb-15 00:00     4.8344078007E+08 301.986595  50.643687
 2014-Feb-16 00:00     4.8283159995E+08 302.110091  50.611746
 2014-Feb-17 00:00     4.8221922644E+08 302.233732  50.579593
 2014-Feb-18 00:00     4.8160365278E+08 302.357520  50.547227
 2014-Feb-19 00:00     4.8098487215E+08 302.481454  50.514646
 2014-Feb-20 00:00     4.8036287768E+08 302.605537  50.481849
 2014-Feb-21 00:00     4.7973766246E+08 302.729770  50.448834
 2014-Feb-22 00:00     4.7910921950E+08 302.854154  50.415600
 2014-Feb-23 00:00     4.7847754175E+08 302.978691  50.382145
 2014-Feb-24 00:00     4.7784262211E+08 303.103382  50.348469
 2014-Feb-25 00:00     4.7720445344E+08 303.228227  50.314568
 2014-Feb-26 00:00     4.7656302850E+08 303.353230  50.280443
 2014-Feb-27 00:00     4.7591834002E+08 303.478391  50.246090
 2014-Feb-28 00:00     4.7527038066E+08 303.603711  50.211510
 2014-Mar-01 00:00     4.7461914302E+08 303.729191  50.176699
 2014-Mar-02 00:00     4.7396461963E+08 303.854835  50.141657
 2014-Mar-03 00:00     4.7330680297E+08 303.980641  50.106382
 2014-Mar-04 00:00     4.7264568546E+08 304.106614  50.070872
 2014-Mar-05 00:00     4.7198125944E+08 304.232752  50.035125
 2014-Mar-06 00:00     4.7131351719E+08 304.359059  49.999140
 2014-Mar-07 00:00     4.7064245094E+08 304.485536  49.962915
 2014-Mar-08 00:00     4.6996805284E+08 304.612183  49.926448
 2014-Mar-09 00:00     4.6929031498E+08 304.739004  49.889737
 2014-Mar-10 00:00     4.6860922939E+08 304.865998  49.852782
 2014-Mar-11 00:00     4.6792478801E+08 304.993168  49.815579
 2014-Mar-12 00:00     4.6723698273E+08 305.120516  49.778127
 2014-Mar-13 00:00     4.6654580539E+08 305.248043  49.740425
 2014-Mar-14 00:00     4.6585124772E+08 305.375750  49.702469
 2014-Mar-15 00:00     4.6515330140E+08 305.503639  49.664259
 2014-Mar-16 00:00     4.6445195805E+08 305.631712  49.625793
 2014-Mar-17 00:00     4.6374720922E+08 305.759970  49.587068
 2014-Mar-18 00:00     4.6303904635E+08 305.888415  49.548083
 2014-Mar-19 00:00     4.6232746087E+08 306.017049  49.508835
 2014-Mar-20 00:00     4.6161244407E+08 306.145874  49.469322
 2014-Mar-21 00:00     4.6089398722E+08 306.274891  49.429543
 2014-Mar-22 00:00     4.6017208150E+08 306.404101  49.389496
 2014-Mar-23 00:00     4.5944671799E+08 306.533507  49.349177
 2014-Mar-24 00:00     4.5871788773E+08 306.663111  49.308586
 2014-Mar-25 00:00     4.5798558167E+08 306.792914  49.267719
 2014-Mar-26 00:00     4.5724979066E+08 306.922917  49.226576
 2014-Mar-27 00:00     4.5651050552E+08 307.053124  49.185153
 2014-Mar-28 00:00     4.5576771694E+08 307.183535  49.143448
 2014-Mar-29 00:00     4.5502141557E+08 307.314153  49.101459
 2014-Mar-30 00:00     4.5427159195E+08 307.444979  49.059184
 2014-Mar-31 00:00     4.5351823657E+08 307.576015  49.016620
 2014-Apr-01 00:00     4.5276133980E+08 307.707263  48.973765
 2014-Apr-02 00:00     4.5200089197E+08 307.838726  48.930617
 2014-Apr-03 00:00     4.5123688328E+08 307.970404  48.887173
 2014-Apr-04 00:00     4.5046930389E+08 308.102301  48.843430
 2014-Apr-05 00:00     4.4969814384E+08 308.234418  48.799387
 2014-Apr-06 00:00     4.4892339311E+08 308.366756  48.755040
 2014-Apr-07 00:00     4.4814504157E+08 308.499319  48.710387
 2014-Apr-08 00:00     4.4736307902E+08 308.632108  48.665426
 2014-Apr-09 00:00     4.4657749515E+08 308.765125  48.620153
 2014-Apr-10 00:00     4.4578827959E+08 308.898373  48.574567
 2014-Apr-11 00:00     4.4499542186E+08 309.031853  48.528664
 2014-Apr-12 00:00     4.4419891139E+08 309.165568  48.482442
 2014-Apr-13 00:00     4.4339873751E+08 309.299519  48.435898
 2014-Apr-14 00:00     4.4259488947E+08 309.433710  48.389028
 2014-Apr-15 00:00     4.4178735642E+08 309.568142  48.341831
 2014-Apr-16 00:00     4.4097612742E+08 309.702817  48.294304
 2014-Apr-17 00:00     4.4016119143E+08 309.837739  48.246442
 2014-Apr-18 00:00     4.3934253730E+08 309.972908  48.198244
 2014-Apr-19 00:00     4.3852015379E+08 310.108328  48.149707
 2014-Apr-20 00:00     4.3769402957E+08 310.244000  48.100826
 2014-Apr-21 00:00     4.3686415319E+08 310.379928  48.051600
 2014-Apr-22 00:00     4.3603051312E+08 310.516114  48.002025
 2014-Apr-23 00:00     4.3519309771E+08 310.652559  47.952097
 2014-Apr-24 00:00     4.3435189522E+08 310.789267  47.901814
 2014-Apr-25 00:00     4.3350689378E+08 310.926240  47.851173
 2014-Apr-26 00:00     4.3265808143E+08 311.063481  47.800169
 2014-Apr-27 00:00     4.3180544612E+08 311.200991  47.748800
 2014-Apr-28 00:00     4.3094897566E+08 311.338775  47.697062
 2014-Apr-29 00:00     4.3008865776E+08 311.476834  47.644952
 2014-Apr-30 00:00     4.2922448002E+08 311.615170  47.592465
 2014-May-01 00:00     4.2835642994E+08 311.753788  47.539599
 2014-May-02 00:00     4.2748449489E+08 311.892689  47.486350
 2014-May-03 00:00     4.2660866213E+08 312.031876  47.432714
 2014-May-04 00:00     4.2572891879E+08 312.171352  47.378688
 2014-May-05 00:00     4.2484525191E+08 312.311119  47.324267
 2014-May-06 00:00     4.2395764840E+08 312.451182  47.269447
 2014-May-07 00:00     4.2306609504E+08 312.591542  47.214226
 2014-May-08 00:00     4.2217057848E+08 312.732202  47.158598
 2014-May-09 00:00     4.2127108529E+08 312.873166  47.102560
 2014-May-10 00:00     4.2036760186E+08 313.014436  47.046108
 2014-May-11 00:00     4.1946011450E+08 313.156016  46.989237
 2014-May-12 00:00     4.1854860935E+08 313.297908  46.931943
 2014-May-13 00:00     4.1763307247E+08 313.440116  46.874222
 2014-May-14 00:00     4.1671348974E+08 313.582643  46.816070
 2014-May-15 00:00     4.1578984695E+08 313.725492  46.757482
 2014-May-16 00:00     4.1486212973E+08 313.868666  46.698454
 2014-May-17 00:00     4.1393032358E+08 314.012168  46.638981
 2014-May-18 00:00     4.1299441386E+08 314.156003  46.579058
 2014-May-19 00:00     4.1205438581E+08 314.300173  46.518681
 2014-May-20 00:00     4.1111022450E+08 314.444682  46.457845
 2014-May-21 00:00     4.1016191490E+08 314.589532  46.396545
 2014-May-22 00:00     4.0920944179E+08 314.734729  46.334776
 2014-May-23 00:00     4.0825278983E+08 314.880275  46.272534
 2014-May-24 00:00     4.0729194354E+08 315.026174  46.209812
 2014-May-25 00:00     4.0632688728E+08 315.172429  46.146606
 2014-May-26 00:00     4.0535760524E+08 315.319044  46.082911
 2014-May-27 00:00     4.0438408150E+08 315.466024  46.018721
