*******************************************************************************
 2014-Feb-11 00:00     1.1880006823E+08 166.582960 -47.684666
 2014-Feb-12 00:00     1.1863387291E+08 167.913944 -46.405390
 2014-Feb-13 00:00     1.1848647330E+08 169.186798 -45.108032
 2014-Feb-14 00:00     1.1835802637E+08 170.405488 -43.794189
 2014-Feb-15 00:00     1.1824866963E+08 171.573729 -42.465370
 2014-Feb-16 00:00     1.1815852058E+08 172.694988 -41.123005
 2014-Feb-17 00:00     1.1808767636E+08 173.772501 -39.768448
 2014-Feb-18 00:00     1.1803621336E+08 174.809280 -38.402990
 2014-Feb-19 00:00     1.1800418695E+08 175.808128 -37.027857
 2014-Feb-20 00:00     1.1799163132E+08 176.771655 -35.644221
 2014-Feb-21 00:00     1.1799855931E+08 177.702284 -34.253200
 2014-Feb-22 00:00     1.1802496239E+08 178.602270 -32.855864
 2014-Feb-23 00:00     1.1807081068E+08 179.473711 -31.453238
 2014-Feb-24 00:00     1.1813605305E+08 180.318560 -30.046304
 2014-Feb-25 00:00     1.1822061733E+08 181.138632 -28.636005
 2014-Feb-26 00:00     1.1832441054E+08 181.935621 -27.223245
 2014-Feb-27 00:00     1.1844731925E+08 182.711107 -25.808892
 2014-Feb-28 00:00     1.1858920995E+08 183.466562 -24.393779
 2014-Mar-01 00:00     1.1874992953E+08 184.203364 -22.978708
 2014-Mar-02 00:00     1.1892930584E+08 184.922799 -21.564444
 2014-Mar-03 00:00     1.1912714824E+08 185.626075 -20.151726
 2014-Mar-04 00:00     1.1934324826E+08 186.314322 -18.741259
 2014-Mar-05 00:00     1.1957738029E+08 186.988601 -17.333720
 2014-Mar-06 00:00     1.1982930234E+08 187.649911 -15.929756
 2014-Mar-07 00:00     1.2009875681E+08 188.299191 -14.529987
 2014-Mar-08 00:00     1.2038547127E+08 188.937327 -13.135002
 2014-Mar-09 00:00     1.2068915936E+08 189.565157 -11.745366
 2014-Mar-10 00:00     1.2100952161E+08 190.183472 -10.361617
 2014-Mar-11 00:00     1.2134624635E+08 190.793024  -8.984263
 2014-Mar-12 00:00     1.2169901059E+08 191.394523  -7.613791
 2014-Mar-13 00:00     1.2206748093E+08 191.988649  -6.250659
 2014-Mar-14 00:00     1.2245131447E+08 192.576046  -4.895301
 2014-Mar-15 00:00     1.2285015971E+08 193.157331  -3.548128
 2014-Mar-16 00:00     1.2326365744E+08 193.733093  -2.209527
 2014-Mar-17 00:00     1.2369144164E+08 194.303898  -0.879860
 2014-Mar-18 00:00     1.2413314035E+08 194.870289   0.440532
 2014-Mar-19 00:00     1.2458837651E+08 195.432788   1.751330
 2014-Mar-20 00:00     1.2505676881E+08 195.991899   3.052235
 2014-Mar-21 00:00     1.2553793247E+08 196.548109   4.342972
 2014-Mar-22 00:00     1.2603148006E+08 197.101892   5.623283
 2014-Mar-23 00:00     1.2653702222E+08 197.653706   6.892930
 2014-Mar-24 00:00     1.2705416840E+08 198.203996   8.151693
 2014-Mar-25 00:00     1.2758252753E+08 198.753200   9.399371
 2014-Mar-26 00:00     1.2812170868E+08 199.301743  10.635778
 2014-Mar-27 00:00     1.2867132172E+08 199.850043  11.860745
 2014-Mar-28 00:00     1.2923097784E+08 200.398510  13.074120
 2014-Mar-29 00:00     1.2980029016E+08 200.947550  14.275762
 2014-Mar-30 00:00     1.3037887419E+08 201.497562  15.465547
 2014-Mar-31 00:00     1.3096634838E+08 202.048940  16.643363
 2014-Apr-01 00:00     1.3156233451E+08 202.602077  17.809109
 2014-Apr-02 00:00     1.3216645811E+08 203.157362  18.962698
 2014-Apr-03 00:00     1.3277834886E+08 203.715183  20.104050
 2014-Apr-04 00:00     1.3339764094E+08 204.275929  21.233100
 2014-Apr-05 00:00     1.3402397328E+08 204.839987  22.349786
 2014-Apr-06 00:00     1.3465698995E+08 205.407745  23.454060
 2014-Apr-07 00:00     1.3529634031E+08 205.979594  24.545878
 2014-Apr-08 00:00     1.3594167931E+08 206.555927  25.625205
 2014-Apr-09 00:00     1.3659266763E+08 207.137140  26.692011
 2014-Apr-10 00:00     1.3724897190E+08 207.723633  27.746271
 2014-Apr-11 00:00     1.3791026482E+08 208.315811  28.787966
 2014-Apr-12 00:00     1.3857622529E+08 208.914084  29.817082
 2014-Apr-13 00:00     1.3924653851E+08 209.518866  30.833606
 2014-Apr-14 00:00     1.3992089609E+08 210.130581  31.837529
 2014-Apr-15 00:00     1.4059899605E+08 210.749657  32.828844
 2014-Apr-16 00:00     1.4128054293E+08 211.376533  33.807547
 2014-Apr-17 00:00     1.4196524778E+08 212.011652  34.773633
 2014-Apr-18 00:00     1.4265282818E+08 212.655470  35.727097
 2014-Apr-19 00:00     1.4334300824E+08 213.308451  36.667936
 2014-Apr-20 00:00     1.4403551860E+08 213.971067  37.596145
 2014-Apr-21 00:00     1.4473009635E+08 214.643804  38.511717
 2014-Apr-22 00:00     1.4542648505E+08 215.327155  39.414643
 2014-Apr-23 00:00     1.4612443467E+08 216.021628  40.304913
 2014-Apr-24 00:00     1.4682370150E+08 216.727739  41.182512
 2014-Apr-25 00:00     1.4752404809E+08 217.446019  42.047423
 2014-Apr-26 00:00     1.4822524323E+08 218.177009  42.899624
 2014-Apr-27 00:00     1.4892706178E+08 218.921263  43.739089
 2014-Apr-28 00:00     1.4962928466E+08 219.679347  44.565786
 2014-Apr-29 00:00     1.5033169873E+08 220.451840  45.379679
 2014-Apr-30 00:00     1.5103409668E+08 221.239332  46.180723
 2014-May-01 00:00     1.5173627695E+08 222.042424  46.968870
 2014-May-02 00:00     1.5243804361E+08 222.861732  47.744062
 2014-May-03 00:00     1.5313920629E+08 223.697879  48.506236
 2014-May-04 00:00     1.5383958001E+08 224.551499  49.255319
 2014-May-05 00:00     1.5453898512E+08 225.423235  49.991230
 2014-May-06 00:00     1.5523724719E+08 226.313737  50.713881
 2014-May-07 00:00     1.5593419684E+08 227.223663  51.423174
 2014-May-08 00:00     1.5662966971E+08 228.153672  52.119000
 2014-May-09 00:00     1.5732350627E+08 229.104427  52.801243
 2014-May-10 00:00     1.5801555176E+08 230.076591  53.469774
 2014-May-11 00:00     1.5870565604E+08 231.070821  54.124457
 2014-May-12 00:00     1.5939367350E+08 232.087769  54.765144
 2014-May-13 00:00     1.6007946295E+08 233.128076  55.391676
 2014-May-14 00:00     1.6076288748E+08 234.192367  56.003884
 2014-May-15 00:00     1.6144381437E+08 235.281247  56.601589
 2014-May-16 00:00     1.6212211500E+08 236.395297  57.184601
 2014-May-17 00:00     1.6279766471E+08 237.535063  57.752719
 2014-May-18 00:00     1.6347034269E+08 238.701057  58.305735
 2014-May-19 00:00     1.6414003191E+08 239.893743  58.843428
 2014-May-20 00:00     1.6480661900E+08 241.113533  59.365572
 2014-May-21 00:00     1.6546999412E+08 242.360777  59.871929
 2014-May-22 00:00     1.6613005092E+08 243.635756  60.362257
 2014-May-23 00:00     1.6678668638E+08 244.938670  60.836308
 2014-May-24 00:00     1.6743980076E+08 246.269632  61.293826
 2014-May-25 00:00     1.6808929749E+08 247.628655  61.734555
 2014-May-26 00:00     1.6873508307E+08 249.015645  62.158235
 2014-May-27 00:00     1.6937706699E+08 250.430390  62.564609
 2014-May-28 00:00     1.7001516166E+08 251.872549  62.953420
 2014-May-29 00:00     1.7064928227E+08 253.341646  63.324415
 2014-May-30 00:00     1.7127934676E+08 254.837063  63.677349
 2014-May-31 00:00     1.7190527573E+08 256.358027  64.011987
 2014-Jun-01 00:00     1.7252699233E+08 257.903611  64.328104
 2014-Jun-02 00:00     1.7314442222E+08 259.472726  64.625492
 2014-Jun-03 00:00     1.7375749346E+08 261.064123  64.903959
 2014-Jun-04 00:00     1.7436613647E+08 262.676387  65.163335
 2014-Jun-05 00:00     1.7497028394E+08 264.307947  65.403472
 2014-Jun-06 00:00     1.7556987075E+08 265.957075  65.624249
 2014-Jun-07 00:00     1.7616483392E+08 267.621897  65.825575
 2014-Jun-08 00:00     1.7675511255E+08 269.300403  66.007388
 2014-Jun-09 00:00     1.7734064772E+08 270.990459  66.169662
 2014-Jun-10 00:00     1.7792138248E+08 272.689824  66.312403
 2014-Jun-11 00:00     1.7849726174E+08 274.396169  66.435656
 2014-Jun-12 00:00     1.7906823224E+08 276.107093  66.539503
 2014-Jun-13 00:00     1.7963424250E+08 277.820150  66.624066
 2014-Jun-14 00:00     1.8019524271E+08 279.532867  66.689504
 2014-Jun-15 00:00     1.8075118477E+08 281.242767  66.736014
 2014-Jun-16 00:00     1.8130202213E+08 282.947397  66.763831
 2014-Jun-17 00:00     1.8184770983E+08 284.644346  66.773228
 2014-Jun-18 00:00     1.8238820440E+08 286.331269  66.764509
 2014-Jun-19 00:00     1.8292346383E+08 288.005905  66.738014
 2014-Jun-20 00:00     1.8345344752E+08 289.666098  66.694111
 2014-Jun-21 00:00     1.8397811622E+08 291.309813  66.633196
 2014-Jun-22 00:00     1.8449743202E+08 292.935147  66.555691
 2014-Jun-23 00:00     1.8501135828E+08 294.540342  66.462036
 2014-Jun-24 00:00     1.8551985961E+08 296.123791  66.352693
 2014-Jun-25 00:00     1.8602290179E+08 297.684049  66.228137
 2014-Jun-26 00:00     1.8652045179E+08 299.219830  66.088855
 2014-Jun-27 00:00     1.8701247769E+08 300.730010  65.935343
 2014-Jun-28 00:00     1.8749894865E+08 302.213626  65.768103
 2014-Jun-29 00:00     1.8797983490E+08 303.669871  65.587639
 2014-Jun-30 00:00     1.8845510766E+08 305.098089  65.394456
 2014-Jul-01 00:00     1.8892473916E+08 306.497771  65.189057
 2014-Jul-02 00:00     1.8938870258E+08 307.868541  64.971939
 2014-Jul-03 00:00     1.8984697200E+08 309.210155  64.743594
 2014-Jul-04 00:00     1.9029952241E+08 310.522484  64.504505
 2014-Jul-05 00:00     1.9074632967E+08 311.805511  64.255144
 2014-Jul-06 00:00     1.9118737047E+08 313.059316  63.995974
 2014-Jul-07 00:00     1.9162262229E+08 314.284072  63.727443
 2014-Jul-08 00:00     1.9205206342E+08 315.480027  63.449990
 2014-Jul-09 00:00     1.9247567289E+08 316.647505  63.164036
 2014-Jul-10 00:00     1.9289343046E+08 317.786887  62.869989
 2014-Jul-11 00:00     1.9330531662E+08 318.898611  62.568243
 2014-Jul-12 00:00     1.9371131253E+08 319.983159  62.259177
 2014-Jul-13 00:00     1.9411140000E+08 321.041051  61.943152
 2014-Jul-14 00:00     1.9450556150E+08 322.072840  61.620519
 2014-Jul-15 00:00     1.9489378013E+08 323.079102  61.291609
 2014-Jul-16 00:00     1.9527603957E+08 324.060436  60.956742
 2014-Jul-17 00:00     1.9565232409E+08 325.017453  60.616221
 2014-Jul-18 00:00     1.9602261851E+08 325.950776  60.270336
 2014-Jul-19 00:00     1.9638690823E+08 326.861032  59.919363
 2014-Jul-20 00:00     1.9674517914E+08 327.748855  59.563563
 2014-Jul-21 00:00     1.9709741765E+08 328.614874  59.203187
 2014-Jul-22 00:00     1.9744361066E+08 329.459718  58.838470
 2014-Jul-23 00:00     1.9778374557E+08 330.284010  58.469637
 2014-Jul-24 00:00     1.9811781022E+08 331.088365  58.096901
 2014-Jul-25 00:00     1.9844579289E+08 331.873390  57.720463
 2014-Jul-26 00:00     1.9876768232E+08 332.639682  57.340513
 2014-Jul-27 00:00     1.9908346763E+08 333.387825  56.957233
 2014-Jul-28 00:00     1.9939313839E+08 334.118391  56.570793
 2014-Jul-29 00:00     1.9969668453E+08 334.831940  56.181353
 2014-Jul-30 00:00     1.9999409636E+08 335.529017  55.789065
 2014-Jul-31 00:00     2.0028536458E+08 336.210154  55.394074
 2014-Aug-01 00:00     2.0057048023E+08 336.875868  54.996514
 2014-Aug-02 00:00     2.0084943469E+08 337.526660  54.596514
 2014-Aug-03 00:00     2.0112221969E+08 338.163019  54.194192
 2014-Aug-04 00:00     2.0138882726E+08 338.785417  53.789663
 2014-Aug-05 00:00     2.0164924976E+08 339.394314  53.383033
 2014-Aug-06 00:00     2.0190347986E+08 339.990153  52.974402
 2014-Aug-07 00:00     2.0215151050E+08 340.573363  52.563865
 2014-Aug-08 00:00     2.0239333492E+08 341.144361  52.151509
 2014-Aug-09 00:00     2.0262894664E+08 341.703548  51.737418
 2014-Aug-10 00:00     2.0285833943E+08 342.251314  51.321670
 2014-Aug-11 00:00     2.0308150734E+08 342.788033  50.904338
 2014-Aug-12 00:00     2.0329844466E+08 343.314068  50.485490
 2014-Aug-13 00:00     2.0350914592E+08 343.829770  50.065191
 2014-Aug-14 00:00     2.0371360590E+08 344.335476  49.643501
 2014-Aug-15 00:00     2.0391181959E+08 344.831513  49.220474
 2014-Aug-16 00:00     2.0410378223E+08 345.318197  48.796165
 2014-Aug-17 00:00     2.0428948926E+08 345.795830  48.370621
 2014-Aug-18 00:00     2.0446893633E+08 346.264708  47.943887
 2014-Aug-19 00:00     2.0464211929E+08 346.725112  47.516006
 2014-Aug-20 00:00     2.0480903422E+08 347.177317  47.087018
 2014-Aug-21 00:00     2.0496967735E+08 347.621586  46.656957
 2014-Aug-22 00:00     2.0512404513E+08 348.058174  46.225858
 2014-Aug-23 00:00     2.0527213418E+08 348.487326  45.793752
 2014-Aug-24 00:00     2.0541394131E+08 348.909281  45.360666
 2014-Aug-25 00:00     2.0554946350E+08 349.324266  44.926628
 2014-Aug-26 00:00     2.0567869790E+08 349.732504  44.491661
 2014-Aug-27 00:00     2.0580164181E+08 350.134207  44.055786
 2014-Aug-28 00:00     2.0591829273E+08 350.529582  43.619023
 2014-Aug-29 00:00     2.0602864829E+08 350.918828  43.181390
 2014-Aug-30 00:00     2.0613270629E+08 351.302138  42.742904
 2014-Aug-31 00:00     2.0623046467E+08 351.679697  42.303577
 2014-Sep-01 00:00     2.0632192153E+08 352.051686  41.863423
 2014-Sep-02 00:00     2.0640707512E+08 352.418278  41.422453
 2014-Sep-03 00:00     2.0648592382E+08 352.779641  40.980676
 2014-Sep-04 00:00     2.0655846618E+08 353.135938  40.538100
 2014-Sep-05 00:00     2.0662470085E+08 353.487326  40.094731
 2014-Sep-06 00:00     2.0668462665E+08 353.833958  39.650575
 2014-Sep-07 00:00     2.0673824253E+08 354.175980  39.205636
 2014-Sep-08 00:00     2.0678554757E+08 354.513535  38.759917
 2014-Sep-09 00:00     2.0682654098E+08 354.846761  38.313419
 2014-Sep-10 00:00     2.0686122211E+08 355.175792  37.866143
 2014-Sep-11 00:00     2.0688959043E+08 355.500759  37.418088
 2014-Sep-12 00:00     2.0691164556E+08 355.821785  36.969253
 2014-Sep-13 00:00     2.0692738722E+08 356.138995  36.519635
 2014-Sep-14 00:00     2.0693681528E+08 356.452505  36.069231
 2014-Sep-15 00:00     2.0693992974E+08 356.762430  35.618036
 2014-Sep-16 00:00     2.0693673071E+08 357.068882  35.166045
 2014-Sep-17 00:00     2.0692721844E+08 357.371970  34.713252
 2014-Sep-18 00:00     2.0691139332E+08 357.671797  34.259650
 2014-Sep-19 00:00     2.0688925584E+08 357.968467  33.805231
 2014-Sep-20 00:00     2.0686080663E+08 358.262078  33.349987
 2014-Sep-21 00:00     2.0682604646E+08 358.552728  32.893909
 2014-Sep-22 00:00     2.0678497623E+08 358.840510  32.436986
 2014-Sep-23 00:00     2.0673759695E+08 359.125515  31.979209
 2014-Sep-24 00:00     2.0668390979E+08 359.407833  31.520565
 2014-Sep-25 00:00     2.0662391602E+08 359.687550  31.061043
 2014-Sep-26 00:00     2.0655761709E+08 359.964751  30.600631
 2014-Sep-27 00:00     2.0648501454E+08   0.239519  30.139314
 2014-Sep-28 00:00     2.0640611009E+08   0.511933  29.677081
 2014-Sep-29 00:00     2.0632090557E+08   0.782073  29.213915
 2014-Sep-30 00:00     2.0622940297E+08   1.050015  28.749802
 2014-Oct-01 00:00     2.0613160442E+08   1.315834  28.284728
 2014-Oct-02 00:00     2.0602751220E+08   1.579602  27.818675
 2014-Oct-03 00:00     2.0591712874E+08   1.841393  27.351627
 2014-Oct-04 00:00     2.0580045662E+08   2.101276  26.883568
 2014-Oct-05 00:00     2.0567749858E+08   2.359319  26.414479
 2014-Oct-06 00:00     2.0554825753E+08   2.615590  25.944343
 2014-Oct-07 00:00     2.0541273654E+08   2.870154  25.473140
 2014-Oct-08 00:00     2.0527093883E+08   3.123077  25.000853
 2014-Oct-09 00:00     2.0512286782E+08   3.374421  24.527461
 2014-Oct-10 00:00     2.0496852710E+08   3.624249  24.052944
 2014-Oct-11 00:00     2.0480792041E+08   3.872622  23.577283
 2014-Oct-12 00:00     2.0464105173E+08   4.119601  23.100455
 2014-Oct-13 00:00     2.0446792518E+08   4.365244  22.622440
 2014-Oct-14 00:00     2.0428854510E+08   4.609609  22.143215
 2014-Oct-15 00:00     2.0410291604E+08   4.852755  21.662759
 2014-Oct-16 00:00     2.0391104274E+08   5.094738  21.181049
 2014-Oct-17 00:00     2.0371293016E+08   5.335613  20.698061
 2014-Oct-18 00:00     2.0350858347E+08   5.575436  20.213771
 2014-Oct-19 00:00     2.0329800809E+08   5.814262  19.728157
 2014-Oct-20 00:00     2.0308120964E+08   6.052144  19.241192
 2014-Oct-21 00:00     2.0285819400E+08   6.289135  18.752853
 2014-Oct-22 00:00     2.0262896729E+08   6.525288  18.263114
 2014-Oct-23 00:00     2.0239353589E+08   6.760657  17.771949
 2014-Oct-24 00:00     2.0215190643E+08   6.995291  17.279331
 2014-Oct-25 00:00     2.0190408583E+08   7.229245  16.785234
 2014-Oct-26 00:00     2.0165008127E+08   7.462567  16.289631
 2014-Oct-27 00:00     2.0138990021E+08   7.695310  15.792494
