*******************************************************************************
 2014-Feb-12 00:00     4.7265982735E+08 181.527248   2.214505
 2014-Feb-13 00:00     4.7260132637E+08 181.572743   2.324781
 2014-Feb-14 00:00     4.7254044939E+08 181.618256   2.435082
 2014-Feb-15 00:00     4.7247719608E+08 181.663789   2.545412
 2014-Feb-16 00:00     4.7241156610E+08 181.709342   2.655770
 2014-Feb-17 00:00     4.7234355909E+08 181.754917   2.766158
 2014-Feb-18 00:00     4.7227317468E+08 181.800514   2.876577
 2014-Feb-19 00:00     4.7220041249E+08 181.846134   2.987028
 2014-Feb-20 00:00     4.7212527212E+08 181.891778   3.097511
 2014-Feb-21 00:00     4.7204775316E+08 181.937446   3.208029
 2014-Feb-22 00:00     4.7196785518E+08 181.983140   3.318582
 2014-Feb-23 00:00     4.7188557774E+08 182.028859   3.429171
 2014-Feb-24 00:00     4.7180092039E+08 182.074606   3.539797
 2014-Feb-25 00:00     4.7171388266E+08 182.120381   3.650462
 2014-Feb-26 00:00     4.7162446408E+08 182.166185   3.761166
 2014-Feb-27 00:00     4.7153266415E+08 182.212018   3.871910
 2014-Feb-28 00:00     4.7143848236E+08 182.257881   3.982695
 2014-Mar-01 00:00     4.7134191819E+08 182.303776   4.093524
 2014-Mar-02 00:00     4.7124297111E+08 182.349703   4.204395
 2014-Mar-03 00:00     4.7114164056E+08 182.395663   4.315312
 2014-Mar-04 00:00     4.7103792598E+08 182.441656   4.426274
 2014-Mar-05 00:00     4.7093182680E+08 182.487684   4.537283
 2014-Mar-06 00:00     4.7082334242E+08 182.533748   4.648340
 2014-Mar-07 00:00     4.7071247225E+08 182.579847   4.759446
 2014-Mar-08 00:00     4.7059921565E+08 182.625984   4.870602
 2014-Mar-09 00:00     4.7048357201E+08 182.672159   4.981809
 2014-Mar-10 00:00     4.7036554067E+08 182.718373   5.093069
 2014-Mar-11 00:00     4.7024512098E+08 182.764626   5.204382
 2014-Mar-12 00:00     4.7012231225E+08 182.810921   5.315749
 2014-Mar-13 00:00     4.6999711381E+08 182.857256   5.427172
 2014-Mar-14 00:00     4.6986952495E+08 182.903634   5.538651
 2014-Mar-15 00:00     4.6973954495E+08 182.950056   5.650189
 2014-Mar-16 00:00     4.6960717310E+08 182.996521   5.761785
 2014-Mar-17 00:00     4.6947240863E+08 183.043031   5.873441
