*******************************************************************************
 2014-Feb-11 00:00     2.7854274955E+08  47.093876 -52.385413
 2014-Feb-12 00:00     2.7812736353E+08  47.478361 -52.574490
 2014-Feb-13 00:00     2.7770683788E+08  47.867335 -52.762873
 2014-Feb-14 00:00     2.7728116861E+08  48.260878 -52.950541
 2014-Feb-15 00:00     2.7685035175E+08  48.659069 -53.137471
 2014-Feb-16 00:00     2.7641438328E+08  49.061992 -53.323640
 2014-Feb-17 00:00     2.7597325919E+08  49.469727 -53.509023
 2014-Feb-18 00:00     2.7552697546E+08  49.882360 -53.693597
 2014-Feb-19 00:00     2.7507552807E+08  50.299974 -53.877334
 2014-Feb-20 00:00     2.7461891298E+08  50.722657 -54.060208
 2014-Feb-21 00:00     2.7415712618E+08  51.150494 -54.242191
 2014-Feb-22 00:00     2.7369016362E+08  51.583575 -54.423254
 2014-Feb-23 00:00     2.7321802130E+08  52.021989 -54.603368
 2014-Feb-24 00:00     2.7274069518E+08  52.465825 -54.782501
 2014-Feb-25 00:00     2.7225818127E+08  52.915175 -54.960621
 2014-Feb-26 00:00     2.7177047556E+08  53.370131 -55.137696
 2014-Feb-27 00:00     2.7127757407E+08  53.830785 -55.313691
 2014-Feb-28 00:00     2.7077947283E+08  54.297231 -55.488571
 2014-Mar-01 00:00     2.7027616790E+08  54.769564 -55.662299
 2014-Mar-02 00:00     2.6976765535E+08  55.247879 -55.834837
 2014-Mar-03 00:00     2.6925393129E+08  55.732270 -56.006147
 2014-Mar-04 00:00     2.6873499184E+08  56.222835 -56.176187
 2014-Mar-05 00:00     2.6821083316E+08  56.719669 -56.344917
 2014-Mar-06 00:00     2.6768145145E+08  57.222869 -56.512292
 2014-Mar-07 00:00     2.6714684296E+08  57.732533 -56.678269
 2014-Mar-08 00:00     2.6660700395E+08  58.248756 -56.842801
 2014-Mar-09 00:00     2.6606193076E+08  58.771637 -57.005842
 2014-Mar-10 00:00     2.6551161977E+08  59.301273 -57.167342
 2014-Mar-11 00:00     2.6495606740E+08  59.837758 -57.327250
 2014-Mar-12 00:00     2.6439527014E+08  60.381191 -57.485516
 2014-Mar-13 00:00     2.6382922456E+08  60.931665 -57.642084
 2014-Mar-14 00:00     2.6325792727E+08  61.489276 -57.796900
 2014-Mar-15 00:00     2.6268137498E+08  62.054118 -57.949908
 2014-Mar-16 00:00     2.6209956444E+08  62.626282 -58.101047
 2014-Mar-17 00:00     2.6151249252E+08  63.205861 -58.250259
 2014-Mar-18 00:00     2.6092015616E+08  63.792943 -58.397480
 2014-Mar-19 00:00     2.6032255241E+08  64.387615 -58.542647
 2014-Mar-20 00:00     2.5971967838E+08  64.989965 -58.685694
 2014-Mar-21 00:00     2.5911153133E+08  65.600074 -58.826554
 2014-Mar-22 00:00     2.5849810861E+08  66.218024 -58.965158
 2014-Mar-23 00:00     2.5787940769E+08  66.843891 -59.101433
 2014-Mar-24 00:00     2.5725542616E+08  67.477752 -59.235306
 2014-Mar-25 00:00     2.5662616174E+08  68.119676 -59.366704
 2014-Mar-26 00:00     2.5599161230E+08  68.769730 -59.495547
 2014-Mar-27 00:00     2.5535177584E+08  69.427979 -59.621758
 2014-Mar-28 00:00     2.5470665051E+08  70.094479 -59.745256
 2014-Mar-29 00:00     2.5405623465E+08  70.769286 -59.865957
 2014-Mar-30 00:00     2.5340052673E+08  71.452446 -59.983776
 2014-Mar-31 00:00     2.5273952542E+08  72.144004 -60.098627
 2014-Apr-01 00:00     2.5207322957E+08  72.843996 -60.210420
 2014-Apr-02 00:00     2.5140163822E+08  73.552453 -60.319066
 2014-Apr-03 00:00     2.5072475062E+08  74.269397 -60.424471
 2014-Apr-04 00:00     2.5004256623E+08  74.994846 -60.526540
 2014-Apr-05 00:00     2.4935508473E+08  75.728808 -60.625177
 2014-Apr-06 00:00     2.4866230605E+08  76.471284 -60.720283
 2014-Apr-07 00:00     2.4796423033E+08  77.222267 -60.811759
 2014-Apr-08 00:00     2.4726085801E+08  77.981740 -60.899501
 2014-Apr-09 00:00     2.4655218978E+08  78.749678 -60.983407
 2014-Apr-10 00:00     2.4583822659E+08  79.526045 -61.063371
 2014-Apr-11 00:00     2.4511896970E+08  80.310796 -61.139286
 2014-Apr-12 00:00     2.4439442068E+08  81.103875 -61.211042
 2014-Apr-13 00:00     2.4366458142E+08  81.905217 -61.278530
 2014-Apr-14 00:00     2.4292945413E+08  82.714743 -61.341638
 2014-Apr-15 00:00     2.4218904137E+08  83.532365 -61.400254
 2014-Apr-16 00:00     2.4144334607E+08  84.357983 -61.454262
 2014-Apr-17 00:00     2.4069237153E+08  85.191483 -61.503548
 2014-Apr-18 00:00     2.3993612145E+08  86.032742 -61.547995
 2014-Apr-19 00:00     2.3917459995E+08  86.881623 -61.587486
 2014-Apr-20 00:00     2.3840781155E+08  87.737975 -61.621902
 2014-Apr-21 00:00     2.3763576126E+08  88.601638 -61.651125
 2014-Apr-22 00:00     2.3685845451E+08  89.472436 -61.675034
 2014-Apr-23 00:00     2.3607589725E+08  90.350182 -61.693511
 2014-Apr-24 00:00     2.3528809593E+08  91.234676 -61.706435
 2014-Apr-25 00:00     2.3449505750E+08  92.125706 -61.713685
 2014-Apr-26 00:00     2.3369678950E+08  93.023045 -61.715141
 2014-Apr-27 00:00     2.3289330000E+08  93.926458 -61.710682
 2014-Apr-28 00:00     2.3208459771E+08  94.835695 -61.700188
 2014-Apr-29 00:00     2.3127069193E+08  95.750496 -61.683539
 2014-Apr-30 00:00     2.3045159261E+08  96.670587 -61.660615
 2014-May-01 00:00     2.2962731037E+08  97.595687 -61.631298
 2014-May-02 00:00     2.2879785654E+08  98.525503 -61.595469
 2014-May-03 00:00     2.2796324317E+08  99.459731 -61.553012
 2014-May-04 00:00     2.2712348308E+08 100.398060 -61.503811
 2014-May-05 00:00     2.2627858986E+08 101.340169 -61.447749
 2014-May-06 00:00     2.2542857793E+08 102.285730 -61.384715
 2014-May-07 00:00     2.2457346258E+08 103.234409 -61.314595
 2014-May-08 00:00     2.2371325996E+08 104.185864 -61.237278
 2014-May-09 00:00     2.2284798716E+08 105.139750 -61.152655
 2014-May-10 00:00     2.2197766225E+08 106.095715 -61.060620
 2014-May-11 00:00     2.2110230426E+08 107.053405 -60.961065
 2014-May-12 00:00     2.2022193330E+08 108.012464 -60.853887
 2014-May-13 00:00     2.1933657055E+08 108.972535 -60.738984
 2014-May-14 00:00     2.1844623831E+08 109.933258 -60.616256
 2014-May-15 00:00     2.1755096007E+08 110.894275 -60.485603
 2014-May-16 00:00     2.1665076052E+08 111.855231 -60.346931
 2014-May-17 00:00     2.1574566564E+08 112.815771 -60.200145
 2014-May-18 00:00     2.1483570271E+08 113.775544 -60.045151
 2014-May-19 00:00     2.1392090041E+08 114.734205 -59.881861
 2014-May-20 00:00     2.1300128882E+08 115.691411 -59.710185
 2014-May-21 00:00     2.1207689951E+08 116.646829 -59.530036
 2014-May-22 00:00     2.1114776562E+08 117.600131 -59.341331
 2014-May-23 00:00     2.1021392188E+08 118.550996 -59.143985
 2014-May-24 00:00     2.0927540467E+08 119.499114 -58.937918
 2014-May-25 00:00     2.0833225215E+08 120.444183 -58.723049
 2014-May-26 00:00     2.0738450427E+08 121.385910 -58.499300
 2014-May-27 00:00     2.0643220284E+08 122.324014 -58.266595
 2014-May-28 00:00     2.0547539166E+08 123.258225 -58.024857
 2014-May-29 00:00     2.0451411654E+08 124.188284 -57.774012
 2014-May-30 00:00     2.0354842541E+08 125.113946 -57.513985
 2014-May-31 00:00     2.0257836840E+08 126.034977 -57.244705
 2014-Jun-01 00:00     2.0160399792E+08 126.951154 -56.966099
 2014-Jun-02 00:00     2.0062536879E+08 127.862271 -56.678095
 2014-Jun-03 00:00     1.9964253825E+08 128.768133 -56.380623
 2014-Jun-04 00:00     1.9865556614E+08 129.668558 -56.073609
 2014-Jun-05 00:00     1.9766451498E+08 130.563379 -55.756985
 2014-Jun-06 00:00     1.9666945006E+08 131.452441 -55.430677
 2014-Jun-07 00:00     1.9567043955E+08 132.335604 -55.094616
 2014-Jun-08 00:00     1.9466755464E+08 133.212741 -54.748728
 2014-Jun-09 00:00     1.9366086962E+08 134.083738 -54.392940
 2014-Jun-10 00:00     1.9265046206E+08 134.948495 -54.027180
 2014-Jun-11 00:00     1.9163641287E+08 135.806924 -53.651372
 2014-Jun-12 00:00     1.9061880649E+08 136.658950 -53.265441
 2014-Jun-13 00:00     1.8959773099E+08 137.504513 -52.869308
 2014-Jun-14 00:00     1.8857327824E+08 138.343561 -52.462897
 2014-Jun-15 00:00     1.8754554403E+08 139.176059 -52.046126
 2014-Jun-16 00:00     1.8651462826E+08 140.001981 -51.618912
 2014-Jun-17 00:00     1.8548063507E+08 140.821312 -51.181173
 2014-Jun-18 00:00     1.8444367301E+08 141.634049 -50.732821
 2014-Jun-19 00:00     1.8340385522E+08 142.440201 -50.273769
 2014-Jun-20 00:00     1.8236129961E+08 143.239786 -49.803924
 2014-Jun-21 00:00     1.8131612902E+08 144.032832 -49.323195
 2014-Jun-22 00:00     1.8026847143E+08 144.819377 -48.831485
 2014-Jun-23 00:00     1.7921846016E+08 145.599469 -48.328695
 2014-Jun-24 00:00     1.7816623406E+08 146.373165 -47.814723
 2014-Jun-25 00:00     1.7711193771E+08 147.140530 -47.289467
 2014-Jun-26 00:00     1.7605572167E+08 147.901637 -46.752818
 2014-Jun-27 00:00     1.7499774264E+08 148.656568 -46.204666
 2014-Jun-28 00:00     1.7393816378E+08 149.405412 -45.644897
 2014-Jun-29 00:00     1.7287715485E+08 150.148268 -45.073397
 2014-Jun-30 00:00     1.7181489253E+08 150.885237 -44.490044
 2014-Jul-01 00:00     1.7075156062E+08 151.616432 -43.894716
 2014-Jul-02 00:00     1.6968735029E+08 152.341970 -43.287287
