*******************************************************************************
 2014-Feb-12 00:00     1.2676158442E+08 319.290007  49.406434
 2014-Feb-13 00:00     1.2676182932E+08 320.950507  48.587774
 2014-Feb-14 00:00     1.2677214005E+08 322.557293  47.746028
 2014-Feb-15 00:00     1.2679250997E+08 324.112008  46.882731
 2014-Feb-16 00:00     1.2682292516E+08 325.616402  45.999361
 2014-Feb-17 00:00     1.2686336445E+08 327.072294  45.097330
 2014-Feb-18 00:00     1.2691379945E+08 328.481546  44.177989
 2014-Feb-19 00:00     1.2697419464E+08 329.846043  43.242624
 2014-Feb-20 00:00     1.2704450740E+08 331.167665  42.292464
 2014-Feb-21 00:00     1.2712468810E+08 332.448281  41.328674
 2014-Feb-22 00:00     1.2721468025E+08 333.689727  40.352362
 2014-Feb-23 00:00     1.2731442052E+08 334.893802  39.364581
 2014-Feb-24 00:00     1.2742383896E+08 336.062260  38.366331
 2014-Feb-25 00:00     1.2754285904E+08 337.196800  37.358558
 2014-Feb-26 00:00     1.2767139787E+08 338.299064  36.342162
 2014-Feb-27 00:00     1.2780936632E+08 339.370637  35.317994
 2014-Feb-28 00:00     1.2795666918E+08 340.413041  34.286863
 2014-Mar-01 00:00     1.2811320536E+08 341.427738  33.249536
 2014-Mar-02 00:00     1.2827886806E+08 342.416128  32.206737
 2014-Mar-03 00:00     1.2845354497E+08 343.379550  31.159157
 2014-Mar-04 00:00     1.2863711846E+08 344.319283  30.107449
 2014-Mar-05 00:00     1.2882946577E+08 345.236550  29.052231
 2014-Mar-06 00:00     1.2903045926E+08 346.132515  27.994093
 2014-Mar-07 00:00     1.2923996660E+08 347.008292  26.933590
 2014-Mar-08 00:00     1.2945785099E+08 347.864938  25.871253
 2014-Mar-09 00:00     1.2968397141E+08 348.703464  24.807582
 2014-Mar-10 00:00     1.2991818280E+08 349.524832  23.743054
 2014-Mar-11 00:00     1.3016033633E+08 350.329959  22.678122
 2014-Mar-12 00:00     1.3041027960E+08 351.119719  21.613213
 2014-Mar-13 00:00     1.3066785690E+08 351.894945  20.548735
 2014-Mar-14 00:00     1.3093290940E+08 352.656432  19.485074
 2014-Mar-15 00:00     1.3120527543E+08 353.404939  18.422596
 2014-Mar-16 00:00     1.3148479065E+08 354.141189  17.361649
 2014-Mar-17 00:00     1.3177128834E+08 354.865873  16.302564
 2014-Mar-18 00:00     1.3206459955E+08 355.579651  15.245653
 2014-Mar-19 00:00     1.3236455338E+08 356.283156  14.191213
 2014-Mar-20 00:00     1.3267097717E+08 356.976991  13.139525
 2014-Mar-21 00:00     1.3298369672E+08 357.661736  12.090858
 2014-Mar-22 00:00     1.3330253649E+08 358.337946  11.045463
 2014-Mar-23 00:00     1.3362731980E+08 359.006154  10.003580
 2014-Mar-24 00:00     1.3395786905E+08 359.666870   8.965438
 2014-Mar-25 00:00     1.3429400589E+08   0.320587   7.931251
 2014-Mar-26 00:00     1.3463555143E+08   0.967778   6.901223
 2014-Mar-27 00:00     1.3498232639E+08   1.608898   5.875547
 2014-Mar-28 00:00     1.3533415129E+08   2.244387   4.854406
 2014-Mar-29 00:00     1.3569084664E+08   2.874670   3.837973
 2014-Mar-30 00:00     1.3605223306E+08   3.500157   2.826411
 2014-Mar-31 00:00     1.3641813149E+08   4.121245   1.819875
 2014-Apr-01 00:00     1.3678836329E+08   4.738320   0.818512
 2014-Apr-02 00:00     1.3716275039E+08   5.351756  -0.177541
 2014-Apr-03 00:00     1.3754111547E+08   5.961915  -1.168153
 2014-Apr-04 00:00     1.3792328202E+08   6.569150  -2.153201
 2014-Apr-05 00:00     1.3830907453E+08   7.173807  -3.132566
 2014-Apr-06 00:00     1.3869831856E+08   7.776221  -4.106140
 2014-Apr-07 00:00     1.3909084089E+08   8.376721  -5.073818
 2014-Apr-08 00:00     1.3948646957E+08   8.975627  -6.035501
 2014-Apr-09 00:00     1.3988503406E+08   9.573256  -6.991095
 2014-Apr-10 00:00     1.4028636531E+08  10.169916  -7.940513
 2014-Apr-11 00:00     1.4069029585E+08  10.765911  -8.883670
 2014-Apr-12 00:00     1.4109665985E+08  11.361540  -9.820487
 2014-Apr-13 00:00     1.4150529321E+08  11.957099 -10.750889
 2014-Apr-14 00:00     1.4191603362E+08  12.552877 -11.674804
 2014-Apr-15 00:00     1.4232872063E+08  13.149164 -12.592164
 2014-Apr-16 00:00     1.4274319570E+08  13.746243 -13.502903
 2014-Apr-17 00:00     1.4315930225E+08  14.344398 -14.406959
 2014-Apr-18 00:00     1.4357688571E+08  14.943910 -15.304272
 2014-Apr-19 00:00     1.4399579357E+08  15.545056 -16.194784
 2014-Apr-20 00:00     1.4441587539E+08  16.148115 -17.078440
 2014-Apr-21 00:00     1.4483698287E+08  16.753363 -17.955185
 2014-Apr-22 00:00     1.4525896985E+08  17.361077 -18.824968
 2014-Apr-23 00:00     1.4568169235E+08  17.971534 -19.687735
 2014-Apr-24 00:00     1.4610500858E+08  18.585008 -20.543436
 2014-Apr-25 00:00     1.4652877897E+08  19.201777 -21.392021
 2014-Apr-26 00:00     1.4695286617E+08  19.822119 -22.233440
 2014-Apr-27 00:00     1.4737713508E+08  20.446313 -23.067641
 2014-Apr-28 00:00     1.4780145281E+08  21.074638 -23.894573
 2014-Apr-29 00:00     1.4822568876E+08  21.707379 -24.714184
 2014-Apr-30 00:00     1.4864971455E+08  22.344819 -25.526420
 2014-May-01 00:00     1.4907340407E+08  22.987248 -26.331225
 2014-May-02 00:00     1.4949663343E+08  23.634958 -27.128538
 2014-May-03 00:00     1.4991928101E+08  24.288249 -27.918296
 2014-May-04 00:00     1.5034122740E+08  24.947427 -28.700431
 2014-May-05 00:00     1.5076235541E+08  25.612814 -29.474868
 2014-May-06 00:00     1.5118255007E+08  26.284749 -30.241526
 2014-May-07 00:00     1.5160169860E+08  26.963605 -31.000320
 2014-May-08 00:00     1.5201969039E+08  27.649807 -31.751168
 2014-May-09 00:00     1.5243641702E+08  28.343860 -32.494021
 2014-May-10 00:00     1.5285177219E+08  29.046373 -33.228926
 2014-May-11 00:00     1.5326565173E+08  29.757999 -33.956163
 2014-May-12 00:00     1.5367795358E+08  30.479125 -34.676370
 2014-May-13 00:00     1.5408857777E+08  31.209247 -35.390278
 2014-May-14 00:00     1.5449742638E+08  31.946972 -36.097767
 2014-May-15 00:00     1.5490440352E+08  32.691569 -36.797502
 2014-May-16 00:00     1.5530941533E+08  33.443892 -37.488184
 2014-May-17 00:00     1.5571236992E+08  34.205352 -38.169404
 2014-May-18 00:00     1.5611317739E+08  34.976990 -38.841289
 2014-May-19 00:00     1.5651174973E+08  35.759425 -39.504045
 2014-May-20 00:00     1.5690800089E+08  36.553058 -40.157795
 2014-May-21 00:00     1.5730184665E+08  37.358205 -40.802574
 2014-May-22 00:00     1.5769320467E+08  38.175163 -41.438355
 2014-May-23 00:00     1.5808199445E+08  39.004230 -42.065075
 2014-May-24 00:00     1.5846813725E+08  39.845707 -42.682644
 2014-May-25 00:00     1.5885155612E+08  40.699902 -43.290956
 2014-May-26 00:00     1.5923217585E+08  41.567127 -43.889894
 2014-May-27 00:00     1.5960992293E+08  42.447692 -44.479331
 2014-May-28 00:00     1.5998472555E+08  43.341910 -45.059133
 2014-May-29 00:00     1.6035651354E+08  44.250086 -45.629159
 2014-May-30 00:00     1.6072521834E+08  45.172524 -46.189263
 2014-May-31 00:00     1.6109077303E+08  46.109518 -46.739291
