*******************************************************************************
 2014-Feb-11 00:00     7.3559008981E+08  28.269426 -26.270114
 2014-Feb-12 00:00     7.3531576739E+08  28.298367 -26.309943
 2014-Feb-13 00:00     7.3504011786E+08  28.327348 -26.349794
 2014-Feb-14 00:00     7.3476314042E+08  28.356369 -26.389667
 2014-Feb-15 00:00     7.3448483427E+08  28.385430 -26.429562
 2014-Feb-16 00:00     7.3420519858E+08  28.414531 -26.469480
 2014-Feb-17 00:00     7.3392423253E+08  28.443673 -26.509420
 2014-Feb-18 00:00     7.3364193531E+08  28.472855 -26.549383
 2014-Feb-19 00:00     7.3335830608E+08  28.502077 -26.589369
 2014-Feb-20 00:00     7.3307334400E+08  28.531340 -26.629378
 2014-Feb-21 00:00     7.3278704825E+08  28.560644 -26.669411
 2014-Feb-22 00:00     7.3249941796E+08  28.589988 -26.709467
 2014-Feb-23 00:00     7.3221045231E+08  28.619374 -26.749547
 2014-Feb-24 00:00     7.3192015043E+08  28.648800 -26.789651
 2014-Feb-25 00:00     7.3162851146E+08  28.678267 -26.829779
 2014-Feb-26 00:00     7.3133553455E+08  28.707776 -26.869932
 2014-Feb-27 00:00     7.3104121882E+08  28.737326 -26.910110
 2014-Feb-28 00:00     7.3074556341E+08  28.766917 -26.950312
 2014-Mar-01 00:00     7.3044856743E+08  28.796550 -26.990540
 2014-Mar-02 00:00     7.3015023001E+08  28.826224 -27.030794
 2014-Mar-03 00:00     7.2985055027E+08  28.855941 -27.071074
 2014-Mar-04 00:00     7.2954952730E+08  28.885699 -27.111380
 2014-Mar-05 00:00     7.2924716022E+08  28.915499 -27.151712
 2014-Mar-06 00:00     7.2894344811E+08  28.945342 -27.192072
 2014-Mar-07 00:00     7.2863839009E+08  28.975227 -27.232458
 2014-Mar-08 00:00     7.2833198523E+08  29.005155 -27.272872
 2014-Mar-09 00:00     7.2802423263E+08  29.035126 -27.313314
 2014-Mar-10 00:00     7.2771513135E+08  29.065140 -27.353784
 2014-Mar-11 00:00     7.2740468049E+08  29.095197 -27.394283
 2014-Mar-12 00:00     7.2709287910E+08  29.125298 -27.434810
 2014-Mar-13 00:00     7.2677972625E+08  29.155443 -27.475367
 2014-Mar-14 00:00     7.2646522100E+08  29.185631 -27.515953
 2014-Mar-15 00:00     7.2614936240E+08  29.215864 -27.556569
 2014-Mar-16 00:00     7.2583214952E+08  29.246142 -27.597215
 2014-Mar-17 00:00     7.2551358138E+08  29.276465 -27.637891
 2014-Mar-18 00:00     7.2519365704E+08  29.306833 -27.678599
