*******************************************************************************
 2014-Feb-11 00:00     1.8152121434E+08  24.949005 -27.787776
 2014-Feb-12 00:00     1.8228577927E+08  25.442545 -28.420583
 2014-Feb-13 00:00     1.8305292002E+08  25.938014 -29.046070
 2014-Feb-14 00:00     1.8382248039E+08  26.435489 -29.664357
 2014-Feb-15 00:00     1.8459430734E+08  26.935039 -30.275530
 2014-Feb-16 00:00     1.8536825094E+08  27.436728 -30.879653
 2014-Feb-17 00:00     1.8614416436E+08  27.940625 -31.476776
 2014-Feb-18 00:00     1.8692190384E+08  28.446801 -32.066941
 2014-Feb-19 00:00     1.8770132865E+08  28.955332 -32.650184
 2014-Feb-20 00:00     1.8848230106E+08  29.466293 -33.226541
 2014-Feb-21 00:00     1.8926468629E+08  29.979763 -33.796043
 2014-Feb-22 00:00     1.9004835252E+08  30.495821 -34.358721
 2014-Feb-23 00:00     1.9083317079E+08  31.014547 -34.914606
 2014-Feb-24 00:00     1.9161901500E+08  31.536021 -35.463729
 2014-Feb-25 00:00     1.9240576186E+08  32.060321 -36.006118
 2014-Feb-26 00:00     1.9319329084E+08  32.587526 -36.541803
 2014-Feb-27 00:00     1.9398148416E+08  33.117717 -37.070814
 2014-Feb-28 00:00     1.9477022668E+08  33.650969 -37.593178
 2014-Mar-01 00:00     1.9555940595E+08  34.187359 -38.108924
 2014-Mar-02 00:00     1.9634891206E+08  34.726964 -38.618080
 2014-Mar-03 00:00     1.9713863770E+08  35.269857 -39.120675
 2014-Mar-04 00:00     1.9792847804E+08  35.816113 -39.616735
 2014-Mar-05 00:00     1.9871833072E+08  36.365803 -40.106288
 2014-Mar-06 00:00     1.9950809579E+08  36.918998 -40.589359
 2014-Mar-07 00:00     2.0029767568E+08  37.475767 -41.065975
 2014-Mar-08 00:00     2.0108697514E+08  38.036178 -41.536161
 2014-Mar-09 00:00     2.0187590120E+08  38.600297 -41.999943
 2014-Mar-10 00:00     2.0266436316E+08  39.168188 -42.457344
 2014-Mar-11 00:00     2.0345227246E+08  39.739913 -42.908390
 2014-Mar-12 00:00     2.0423954275E+08  40.315534 -43.353101
 2014-Mar-13 00:00     2.0502608973E+08  40.895108 -43.791503
 2014-Mar-14 00:00     2.0581183120E+08  41.478692 -44.223616
 2014-Mar-15 00:00     2.0659668697E+08  42.066341 -44.649463
 2014-Mar-16 00:00     2.0738057883E+08  42.658105 -45.069064
 2014-Mar-17 00:00     2.0816343050E+08  43.254036 -45.482439
