*******************************************************************************
 2014-Feb-12 00:00     1.4816318594E+08 195.979671  32.200024
 2014-Feb-13 00:00     1.4870555064E+08 196.495413  33.014334
 2014-Feb-14 00:00     1.4924164857E+08 197.016922  33.820628
 2014-Feb-15 00:00     1.4977138735E+08 197.544525  34.618977
 2014-Feb-16 00:00     1.5029467810E+08 198.078556  35.409446
 2014-Feb-17 00:00     1.5081143534E+08 198.619355  36.192099
 2014-Feb-18 00:00     1.5132157688E+08 199.167275  36.966990
 2014-Feb-19 00:00     1.5182502365E+08 199.722673  37.734171
 2014-Feb-20 00:00     1.5232169963E+08 200.285919  38.493689
 2014-Feb-21 00:00     1.5281153175E+08 200.857393  39.245582
 2014-Feb-22 00:00     1.5329444972E+08 201.437484  39.989887
 2014-Feb-23 00:00     1.5377038602E+08 202.026595  40.726630
 2014-Feb-24 00:00     1.5423927571E+08 202.625139  41.455835
 2014-Feb-25 00:00     1.5470105642E+08 203.233542  42.177518
 2014-Feb-26 00:00     1.5515566817E+08 203.852243  42.891688
 2014-Feb-27 00:00     1.5560305338E+08 204.481695  43.598348
 2014-Feb-28 00:00     1.5604315668E+08 205.122365  44.297493
 2014-Mar-01 00:00     1.5647592492E+08 205.774735  44.989111
 2014-Mar-02 00:00     1.5690130703E+08 206.439300  45.673183
 2014-Mar-03 00:00     1.5731925397E+08 207.116574  46.349682
 2014-Mar-04 00:00     1.5772971865E+08 207.807085  47.018572
 2014-Mar-05 00:00     1.5813265586E+08 208.511377  47.679809
 2014-Mar-06 00:00     1.5852802221E+08 209.230012  48.333340
 2014-Mar-07 00:00     1.5891577605E+08 209.963567  48.979103
 2014-Mar-08 00:00     1.5929587741E+08 210.712639  49.617026
 2014-Mar-09 00:00     1.5966828794E+08 211.477839  50.247028
 2014-Mar-10 00:00     1.6003297087E+08 212.259797  50.869017
 2014-Mar-11 00:00     1.6038989093E+08 213.059160  51.482890
 2014-Mar-12 00:00     1.6073901430E+08 213.876590  52.088532
 2014-Mar-13 00:00     1.6108030856E+08 214.712767  52.685819
 2014-Mar-14 00:00     1.6141374265E+08 215.568384  53.274613
 2014-Mar-15 00:00     1.6173928682E+08 216.444149  53.854764
 2014-Mar-16 00:00     1.6205691256E+08 217.340783  54.426108
 2014-Mar-17 00:00     1.6236659260E+08 218.259020  54.988470
 2014-Mar-18 00:00     1.6266830082E+08 219.199600  55.541660
 2014-Mar-19 00:00     1.6296201225E+08 220.163273  56.085472
 2014-Mar-20 00:00     1.6324770299E+08 221.150791  56.619688
 2014-Mar-21 00:00     1.6352535023E+08 222.162909  57.144075
 2014-Mar-22 00:00     1.6379493216E+08 223.200377  57.658382
 2014-Mar-23 00:00     1.6405642795E+08 224.263938  58.162345
 2014-Mar-24 00:00     1.6430981774E+08 225.354325  58.655683
 2014-Mar-25 00:00     1.6455508257E+08 226.472249  59.138099
 2014-Mar-26 00:00     1.6479220441E+08 227.618400  59.609281
 2014-Mar-27 00:00     1.6502116606E+08 228.793435  60.068899
 2014-Mar-28 00:00     1.6524195118E+08 229.997970  60.516609
 2014-Mar-29 00:00     1.6545454423E+08 231.232574  60.952051
